model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-resiboost,0,0.7348,0.7732,0.6558,0.8467,0.9476,0.8294,0.0,0.5,False,0,2024-09-17 20:27:24
esm-t33-gearnet-resiboost,0,0.7427,0.7759,0.6721,0.8436,0.9472,0.8277,-0.2,0.5,True,1,2024-09-18 05:17:20
esm-t33-gearnet-resiboost,1,0.7292,0.7809,0.6736,0.8136,0.9485,0.8206,-0.1,0.5,False,0,2024-09-18 14:07:27
esm-t33-gearnet-resiboost,1,0.7313,0.7705,0.684,0.8059,0.9489,0.8206,-0.3,0.5,True,1,2024-09-18 22:58:52
esm-t33-gearnet-resiboost,2,0.7352,0.7711,0.6825,0.8156,0.9468,0.8001,-0.9,0.5,False,0,2024-09-19 07:45:34
esm-t33-gearnet-resiboost,2,0.7294,0.7767,0.6706,0.8174,0.9471,0.7998,-1.0,0.5,True,1,2024-09-19 16:35:20
esm-t33-gearnet-resiboost,3,0.7263,0.7713,0.6499,0.8359,0.9508,0.7773,-0.6,0.5,False,0,2024-09-20 01:40:24
esm-t33-gearnet-resiboost,3,0.7338,0.7759,0.6958,0.7976,0.9563,0.7768,-2.3,0.5,True,1,2024-09-20 10:28:02
esm-t33-gearnet-resiboost,4,0.7313,0.7778,0.6617,0.8321,0.9498,0.7861,-0.9,0.5,False,0,2024-09-20 20:03:32
esm-t33-gearnet-resiboost,4,0.7293,0.7847,0.6499,0.8423,0.9524,0.7876,-0.4,0.5,True,1,2024-09-21 05:42:48
esm-t33-gearnet-resiboost,0,0.7413,0.7618,0.6721,0.8404,0.9239,0.8287,0.3,0.1,False,0,2024-10-01 11:31:00
esm-t33-gearnet-resiboost,0,0.7292,0.7568,0.6617,0.8275,0.9266,0.8254,-0.2,0.1,True,1,2024-10-01 18:35:57
esm-t33-gearnet-resiboost,0,0.7425,0.7595,0.6706,0.8449,0.9304,0.8281,-0.2,0.2,False,2,2024-10-02 01:39:54
esm-t33-gearnet-resiboost,0,0.7356,0.7633,0.6513,0.8541,0.9209,0.8299,-0.1,0.2,True,3,2024-10-02 08:44:19
esm-t33-gearnet-resiboost,0,0.738,0.7705,0.6662,0.8408,0.9399,0.8294,-0.1,0.3,False,4,2024-10-02 15:48:12
esm-t33-gearnet-resiboost,0,0.7449,0.7686,0.6617,0.861,0.9381,0.8309,-0.1,0.3,True,5,2024-10-02 22:52:15
esm-t33-gearnet-resiboost,0,0.7311,0.7757,0.6602,0.8333,0.9471,0.8293,-0.2,0.5,False,6,2024-10-03 05:55:20
esm-t33-gearnet-resiboost,0,0.7445,0.7735,0.6736,0.8454,0.9471,0.8298,-0.3,0.5,True,7,2024-10-03 13:00:39
esm-t33-gearnet-resiboost,0,0.7375,0.7773,0.6632,0.8434,0.949,0.8287,-0.3,0.9,False,8,2024-10-03 20:04:41
esm-t33-gearnet-resiboost,0,0.7396,0.7741,0.6617,0.8495,0.9437,0.8274,-0.5,0.9,True,9,2024-10-04 03:08:00
esm-t33-gearnet-resiboost,1,0.7289,0.7657,0.6855,0.7993,0.9309,0.8235,-0.2,0.1,False,0,2024-10-04 10:15:20
esm-t33-gearnet-resiboost,1,0.7378,0.7592,0.6958,0.8058,0.9298,0.8185,-0.5,0.1,True,1,2024-10-04 17:22:28
esm-t33-gearnet-resiboost,1,0.7323,0.7624,0.6855,0.8063,0.9326,0.8186,0.1,0.2,False,2,2024-10-05 00:28:47
