model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,model_kwargs.lm_freeze_layer_count,max_slice_length,padding,hp_combination,finished_at
esm-t33-gearnet-bs2,0,0.668,0.7083,0.5964,0.7776,0.9457,0.798,-0.5,30,300,50,0,2024-09-14 14:39:36
esm-t33-gearnet,0,0.7215,0.7427,0.6395,0.8385,0.9317,0.8217,-0.7,30,300,50,0,2024-09-14 16:29:20
esm-t33-gearnet,0,0.6998,0.7299,0.6231,0.8124,0.933,0.8271,-0.4,30,400,50,1,2024-09-14 17:52:56
esm-t33-gearnet,0,0.7182,0.744,0.6499,0.8187,0.9429,0.8216,0.0,30,500,50,2,2024-09-14 19:17:15
esm-t33-gearnet,0,0.7117,0.7524,0.6024,0.8657,0.9335,0.822,-0.4,30,600,50,3,2024-09-14 20:42:57
esm-t33-gearnet,0,0.7217,0.7541,0.6602,0.8135,0.9367,0.8244,-0.2,28,500,50,0,2024-09-16 11:50:32
esm-t33-gearnet,0,0.743,0.7608,0.678,0.837,0.9391,0.8262,-0.3,28,600,50,1,2024-09-16 12:48:05
esm-t33-gearnet,1,0.7142,0.7471,0.6766,0.7795,0.9426,0.8132,-0.2,28,500,50,0,2024-09-16 13:38:35
esm-t33-gearnet,1,0.7251,0.7467,0.6513,0.8314,0.9365,0.8108,-0.4,28,600,50,1,2024-09-16 14:30:37
esm-t33-gearnet,1,0.7222,0.7479,0.6766,0.7958,0.9395,0.8111,-0.3,30,500,50,2,2024-09-16 15:19:17
esm-t33-gearnet,1,0.7218,0.7397,0.6454,0.8317,0.9342,0.808,-0.7,30,600,50,3,2024-09-16 16:08:50
esm-t33-gearnet,2,0.7185,0.7427,0.6751,0.7899,0.937,0.7942,-0.2,28,500,50,0,2024-09-16 16:59:21
esm-t33-gearnet,2,0.7307,0.7535,0.6662,0.8254,0.9312,0.8021,-0.4,28,600,50,1,2024-09-16 17:50:38
esm-t33-gearnet,2,0.7195,0.7544,0.6855,0.7804,0.9512,0.7914,-0.9,30,500,50,2,2024-09-16 18:39:21
esm-t33-gearnet,2,0.7187,0.7572,0.632,0.8419,0.9372,0.7984,-0.6,30,600,50,3,2024-09-16 19:28:46
esm-t33-gearnet,3,0.7134,0.7384,0.632,0.8304,0.9372,0.7732,-0.3,28,500,50,0,2024-09-16 20:19:01
esm-t33-gearnet,3,0.7072,0.7396,0.6513,0.7939,0.9355,0.7699,-0.4,28,600,50,1,2024-09-16 21:10:15
esm-t33-gearnet,3,0.7113,0.7275,0.6543,0.7989,0.9418,0.7708,-0.8,30,500,50,2,2024-09-16 21:58:48
esm-t33-gearnet,3,0.7089,0.7641,0.6395,0.8117,0.9482,0.7729,-0.8,30,600,50,3,2024-09-16 22:47:56
esm-t33-gearnet,4,0.7306,0.7564,0.684,0.8045,0.9418,0.7839,-0.2,28,500,50,0,2024-09-16 23:38:23
esm-t33-gearnet,4,0.7264,0.7482,0.6662,0.8164,0.9392,0.7802,-0.8,28,600,50,1,2024-09-17 00:29:32
esm-t33-gearnet,4,0.7328,0.7493,0.6736,0.821,0.9394,0.7789,-0.7,30,500,50,2,2024-09-17 01:17:52
esm-t33-gearnet,4,0.72,0.7407,0.6691,0.7996,0.9355,0.7861,-1.1,30,600,50,3,2024-09-17 02:06:40
