model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,model_kwargs.lm_freeze_layer_count,max_slice_length,padding,hp_combination,finished_at,pos_weight_factor,task_kwargs.criterion,task_kwargs.focal_loss_gamma,task_kwargs.focal_loss_alpha
esm-t33-gearnet,0,0.6688,0.674,0.5994,0.7754,0.9172,0.6923,-1.0,29.0,400.0,25.0,0,2024-09-11 17:26:52,,,,
esm-t33-gearnet,0,0.627,0.6513,0.6009,0.6876,0.9072,0.6874,-2.4,29.0,400.0,50.0,1,2024-09-11 17:42:17,,,,
esm-t33-gearnet,0,0.6493,0.6642,0.5801,0.7578,0.9111,0.6819,-1.4,29.0,400.0,75.0,2,2024-09-11 17:58:12,,,,
esm-t33-gearnet,0,0.6584,0.68,0.6246,0.7246,0.9164,0.6941,-2.9,29.0,500.0,25.0,3,2024-09-11 18:15:18,,,,
esm-t33-gearnet,0,0.6582,0.6687,0.5905,0.7639,0.91,0.6914,-1.9,29.0,500.0,50.0,4,2024-09-12 11:44:36,,,,
esm-t33-gearnet,0,0.6597,0.675,0.6157,0.7371,0.9056,0.6969,-2.7,29.0,500.0,75.0,5,2024-09-12 12:01:54,,,,
esm-t33-gearnet,0,0.6414,0.6595,0.6068,0.7101,0.928,0.6918,-2.7,29.0,600.0,25.0,6,2024-09-12 15:56:41,,,,
esm-t33-gearnet,0,0.6517,0.6659,0.638,0.6969,0.9228,0.6941,-3.0,29.0,600.0,50.0,7,2024-09-12 16:13:39,,,,
esm-t33-gearnet,0,0.6679,0.6807,0.6246,0.7438,0.9138,0.6864,-3.0,29.0,600.0,75.0,8,2024-09-12 16:30:31,,,,
esm-t33-gearnet,0,0.6508,0.6797,0.5831,0.7572,0.9185,0.6781,-2.1,30.0,400.0,25.0,9,2024-09-12 16:46:50,,,,
esm-t33-gearnet,0,0.6557,0.6774,0.5861,0.764,0.913,0.6799,-2.2,30.0,400.0,50.0,10,2024-09-12 17:03:36,,,,
esm-t33-gearnet,0,0.6546,0.6792,0.6261,0.7153,0.9182,0.6702,-3.0,30.0,400.0,75.0,11,2024-09-12 17:19:55,,,,
