model_key,valid_fold,model_kwargs.lm_freeze_layer_count,model_kwargs.node_h_dim,model_kwargs.num_layers,model_kwargs.residual,cycle_size,hp_combination,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at,max_lr
esm-t33-gvp,0,30,"(256, 16)",3,True,20,0,0.1647,0.1289,0.3546,0.1409,0.7594,0.1443,-3.0,2024-09-10 16:27:28,0.003
esm-t33-gvp,0,30,"(256, 16)",3,True,10,1,0.6632,0.6509,0.6261,0.7326,0.9354,0.6768,-3.0,2024-09-10 16:34:51,0.003
esm-t33-gvp,0,30,"(256, 16)",3,False,20,2,0.0,0.0485,0.0,0.0,0.544,0.0,-3.0,2024-09-10 16:49:09,0.003
esm-t33-gvp,0,30,"(256, 16)",3,False,10,3,0.6423,0.6757,0.6335,0.6832,0.913,0.6776,-3.0,2024-09-10 16:56:33,0.003
esm-t33-gvp,0,30,"(256, 16)",4,True,20,4,0.653,0.6626,0.5638,0.7867,0.9038,0.6741,-2.1,2024-09-10 17:11:27,0.003
esm-t33-gvp,0,30,"(256, 16)",4,True,10,5,0.6461,0.6672,0.5905,0.7384,0.9312,0.6626,-2.8,2024-09-10 17:19:10,0.003
esm-t33-gvp,0,30,"(256, 16)",4,False,20,6,0.6589,0.6768,0.5905,0.7654,0.8948,0.6668,-2.8,2024-09-10 17:34:01,0.003
esm-t33-gvp,0,30,"(256, 16)",4,False,10,7,0.657,0.6788,0.6217,0.7249,0.9314,0.6748,-3.0,2024-09-10 17:41:41,0.003
esm-t33-gvp,0,30,"(512, 16)",3,True,20,8,0.045,0.0573,0.6588,0.0538,0.574,0.0439,-3.0,2024-09-10 17:57:27,0.003
esm-t33-gvp,0,30,"(512, 16)",3,True,10,9,0.6555,0.6742,0.6053,0.7405,0.9141,0.6807,-2.6,2024-09-10 18:05:36,0.003
esm-t33-gvp,0,30,"(512, 16)",3,False,20,10,0.2124,0.1532,0.4139,0.1715,0.7942,0.1893,-3.0,2024-09-10 18:21:17,0.003
esm-t33-gvp,0,30,"(512, 16)",3,False,10,11,0.0,0.063,0.0,0.0,0.5995,0.0,-3.0,2024-09-10 18:29:25,0.003
esm-t33-gvp,0,30,"(256, 16)",3,True,20,0,0.6452,0.6729,0.592,0.7348,0.9269,0.673,-1.0,2024-09-10 18:46:38,0.002
esm-t33-gvp,0,30,"(256, 16)",3,True,10,1,0.6487,0.6767,0.595,0.7385,0.9347,0.6699,-2.4,2024-09-10 18:54:03,0.002
esm-t33-gvp,0,30,"(256, 16)",3,False,20,2,0.6533,0.6647,0.595,0.7481,0.904,0.688,-2.9,2024-09-10 19:08:22,0.002
esm-t33-gvp,0,30,"(256, 16)",3,False,10,3,0.631,0.6506,0.5534,0.752,0.9308,0.625,-2.9,2024-09-10 19:15:47,0.002
esm-t33-gvp,0,30,"(256, 16)",4,True,20,4,0.6629,0.6908,0.6157,0.7437,0.9276,0.673,-2.5,2024-09-10 19:30:42,0.002
esm-t33-gvp,0,30,"(256, 16)",4,True,10,5,0.6548,0.6645,0.6142,0.7289,0.9335,0.6551,-3.0,2024-09-10 19:38:25,0.002
esm-t33-gvp,0,30,"(256, 16)",4,False,20,6,0.251,0.1783,0.4733,0.1931,0.8107,0.2118,-3.0,2024-09-10 19:53:17,0.002
esm-t33-gvp,0,30,"(256, 16)",4,False,10,7,0.648,0.6589,0.6202,0.7085,0.9379,0.669,-3.0,2024-09-10 20:00:59,0.002
esm-t33-gvp,0,30,"(512, 16)",3,True,20,8,0.6352,0.656,0.5608,0.7515,0.9183,0.6729,-3.0,2024-09-10 20:16:47,0.002
esm-t33-gvp,0,30,"(512, 16)",3,True,10,9,0.647,0.6731,0.6068,0.7213,0.9329,0.6712,-2.8,2024-09-10 20:24:57,0.002
esm-t33-gvp,0,30,"(512, 16)",3,False,20,10,0.0,0.0612,0.0,0.0,0.573,0.0,-3.0,2024-09-10 20:40:38,0.002
esm-t33-gvp,0,30,"(512, 16)",3,False,10,11,0.6449,0.6809,0.6276,0.6946,0.9453,0.6742,-2.9,2024-09-10 20:48:44,0.002
esm-t33-gvp,0,30,"(512, 16)",4,True,20,12,0.6427,0.6871,0.5831,0.7401,0.9329,0.6632,-2.9,2024-09-10 21:05:37,0.002
esm-t33-gvp,0,30,"(512, 16)",4,True,10,13,0.6271,0.6695,0.592,0.6976,0.9328,0.658,-3.0,2024-09-10 21:14:18,0.002
esm-t33-gvp,0,30,"(512, 16)",4,False,20,14,0.0,0.0399,0.0,0.0,0.4734,0.0,-3.0,2024-09-10 21:30:57,0.002
esm-t33-gvp,0,30,"(512, 16)",4,False,10,15,0.6523,0.681,0.6053,0.7338,0.9357,0.6649,-3.0,2024-09-10 21:39:30,0.002
esm-t33-gvp,0,31,"(256, 16)",3,True,20,16,0.6329,0.6708,0.5445,0.7678,0.9307,0.6456,-3.0,2024-09-10 21:53:18,0.002
esm-t33-gvp,0,31,"(256, 16)",3,True,10,17,0.6347,0.6653,0.5712,0.7375,0.9462,0.6454,-2.6,2024-09-10 22:00:27,0.002
esm-t33-gvp,0,31,"(256, 16)",3,False,20,18,0.6259,0.6516,0.5786,0.7104,0.9276,0.6628,-2.6,2024-09-10 22:14:16,0.002
esm-t33-gvp,0,31,"(256, 16)",3,False,10,19,0.6556,0.6624,0.5935,0.7547,0.9301,0.6514,-3.0,2024-09-10 22:21:29,0.002
esm-t33-gvp,0,31,"(256, 16)",4,True,20,20,0.6534,0.6241,0.6202,0.7194,0.9291,0.6699,-2.6,2024-09-10 22:35:58,0.002
esm-t33-gvp,0,31,"(256, 16)",4,True,10,21,0.6358,0.6772,0.5386,0.7823,0.9331,0.6512,-0.7,2024-09-10 22:43:27,0.002
esm-t33-gvp,0,31,"(256, 16)",4,False,20,22,0.6644,0.7001,0.6187,0.7433,0.9332,0.674,-2.5,2024-09-10 22:57:55,0.002
esm-t33-gvp,0,31,"(256, 16)",4,False,10,23,0.6347,0.6709,0.5712,0.7375,0.9366,0.6579,-2.9,2024-09-10 23:05:25,0.002
