model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,valid_mcc,best_threshold,finished_at
esm-t33-gearnet-resiboost-r10,0,0.6761,0.7005,0.6766,0.7048,0.6966,-1.6,2024-06-07 18:12:44
esm-t33-gearnet-resiboost-r10,1,0.6931,0.7179,0.6617,0.7534,0.6209,-0.3,2024-06-07 20:02:55
esm-t33-gearnet-resiboost-r10,2,0.6966,0.7132,0.6217,0.8073,0.6192,0.3,2024-06-07 21:52:47
esm-t33-gearnet-resiboost-r10,3,0.7064,0.7176,0.6869,0.7528,0.6975,-1.2,2024-06-07 23:42:59
esm-t33-gearnet-resiboost-r10,4,0.6929,0.7078,0.6884,0.725,0.6704,-1.0,2024-06-08 01:33:09
esm-t33-gearnet-adaboost-r10,0,0.6773,0.6911,0.6172,0.7718,0.692,-1.0,2024-06-08 03:22:55
esm-t33-gearnet-adaboost-r10,1,0.6905,0.7106,0.6617,0.7483,0.6218,-1.1,2024-06-08 05:12:46
esm-t33-gearnet-adaboost-r10,2,0.688,0.7065,0.6335,0.775,0.6128,-1.2,2024-06-08 07:02:29
esm-t33-gearnet-adaboost-r10,3,0.6849,0.7117,0.6231,0.7807,0.7033,-0.4,2024-06-08 08:52:11
esm-t33-gearnet-adaboost-r10,4,0.6872,0.6981,0.6721,0.7306,0.6624,-1.6,2024-06-08 10:42:29
gearnet,0,0.4764,0.4912,0.4674,0.5321,0.4787,-2.7,2024-06-08 20:07:22
gearnet,1,0.4967,0.5109,0.4347,0.6117,0.4213,-2.9,2024-06-08 20:10:09
gearnet,2,0.4556,0.4924,0.3531,0.6347,0.4397,-1.9,2024-06-08 20:12:57
gearnet,3,0.4787,0.506,0.4332,0.5748,0.5221,-2.9,2024-06-08 20:15:46
gearnet,4,0.4816,0.4982,0.3754,0.6623,0.4602,-2.0,2024-06-08 20:18:33
bert,0,0.4414,0.4536,0.408,0.5268,0.4723,-1.3,2024-06-08 20:24:46
bert,1,0.4961,0.4837,0.4139,0.6384,0.4611,-1.4,2024-06-08 20:27:58
bert,2,0.4628,0.4576,0.3205,0.7129,0.4444,-0.2,2024-06-08 20:31:12
bert,3,0.4213,0.4295,0.3961,0.4991,0.5125,-3.0,2024-06-08 20:34:28
bert,4,0.4682,0.4431,0.3279,0.7129,0.4806,-1.0,2024-06-08 20:37:43
bert-gearnet,0,0.5457,0.5544,0.4481,0.704,0.5476,-2.9,2024-06-08 20:45:06
bert-gearnet,1,0.5887,0.6029,0.5223,0.6998,0.5293,-2.3,2024-06-08 20:52:26
bert-gearnet,2,0.5935,0.6019,0.5386,0.6901,0.5197,-2.2,2024-06-08 20:59:45
bert-gearnet,3,0.5491,0.5564,0.4614,0.6927,0.6071,-1.2,2024-06-08 21:07:08
bert-gearnet,4,0.5547,0.5509,0.4926,0.664,0.5525,-0.8,2024-06-08 21:14:29
esm-t33,0,0.6552,0.6586,0.6113,0.7331,0.6651,-2.8,2024-06-08 21:19:57
esm-t33,1,0.6814,0.7014,0.6439,0.7496,0.5879,-2.8,2024-06-08 21:25:25
esm-t33,2,0.6715,0.6867,0.6261,0.7496,0.579,-2.3,2024-06-08 21:30:54
esm-t33,3,0.659,0.6826,0.6039,0.7495,0.6902,-3.0,2024-06-08 21:36:23
esm-t33,4,0.6566,0.66,0.5786,0.7753,0.6448,-1.2,2024-06-08 21:41:54
esm-t33-gearnet,0,0.6574,0.6802,0.6098,0.7392,0.6863,-2.9,2024-06-08 21:52:00
esm-t33-gearnet,1,0.6959,0.6919,0.6439,0.7792,0.5967,-2.5,2024-06-08 22:02:03
esm-t33-gearnet,2,0.6783,0.6953,0.6068,0.7865,0.6005,-3.0,2024-06-08 22:12:07
esm-t33-gearnet,3,0.6853,0.684,0.6157,0.7905,0.6837,-2.0,2024-06-08 22:22:07
esm-t33-gearnet,4,0.6638,0.6833,0.6528,0.7051,0.6546,-2.9,2024-06-08 22:32:13
esm-t33-gearnet-ensemble,0,0.6827,0.7092,0.6365,0.7606,0.7045,-2.7,2024-06-09 00:45:56
esm-t33-gearnet-ensemble,1,0.6965,0.7232,0.6751,0.7459,0.6253,-2.9,2024-06-09 02:35:23
esm-t33-gearnet-ensemble,2,0.6966,0.7312,0.635,0.7911,0.6192,-2.3,2024-06-09 04:24:27
esm-t33-gearnet-ensemble,3,0.6946,0.7182,0.6499,0.7698,0.7046,-3.0,2024-06-09 06:13:21
esm-t33-gearnet-ensemble,4,0.6899,0.7149,0.6543,0.7551,0.6745,-3.0,2024-06-09 08:02:54
esm-t33-gearnet-adaboost-r10,1,0.6928,0.7131,0.684,0.7294,0.6147,-1.5,2024-06-11 12:30:55
esm-t33-gearnet,0,0.6656,0.6804,0.6365,0.7259,0.6938,-3.0,2024-06-12 11:53:56
esm-t33-gearnet,1,0.6756,0.7018,0.6365,0.7461,0.6094,-2.6,2024-06-12 12:04:12
esm-t33-gearnet,2,0.6654,0.682,0.6202,0.7438,0.5952,-3.0,2024-06-12 12:14:30
esm-t33-gearnet,3,0.686,0.6893,0.6365,0.7674,0.6861,-2.2,2024-06-12 12:24:44
esm-t33-gearnet,4,0.6355,0.6714,0.546,0.7715,0.6508,-0.3,2024-06-12 12:35:01
esm-t33,0,0.6458,0.6816,0.6172,0.7075,0.676,-3.0,2024-06-12 12:40:38
esm-t33,1,0.6602,0.6735,0.6543,0.6967,0.5844,-3.0,2024-06-12 12:46:14
esm-t33,2,0.6483,0.6665,0.6068,0.7239,0.5882,-1.9,2024-06-12 12:51:51
esm-t33,3,0.6769,0.6862,0.6039,0.7872,0.6781,-1.0,2024-06-12 12:57:27
esm-t33,4,0.6513,0.6691,0.6231,0.7119,0.6456,-2.3,2024-06-12 13:03:06
esm-t33-gearnet-adaboost-r10,0,0.6751,0.6886,0.6484,0.732,0.6997,-1.5,2024-06-12 15:02:53
