model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-pretrained-resiboost,0,0.7789,0.8412,0.7167,0.8776,0.9624,0.9341,0.6,0.5,False,0,2024-10-02 15:48:13
esm-t33-gearnet-pretrained-resiboost,0,0.7756,0.8438,0.6833,0.9111,0.9655,0.9658,0.8,0.5,True,1,2024-10-02 15:50:24
esm-t33-gearnet-pretrained-resiboost,1,0.7649,0.83,0.8333,0.7353,0.9605,0.9057,-1.4,0.5,False,0,2024-10-02 15:52:37
esm-t33-gearnet-pretrained-resiboost,1,0.7341,0.812,0.85,0.6711,0.9529,0.9057,-2.5,0.5,True,1,2024-10-02 15:54:48
esm-t33-gearnet-pretrained-resiboost,2,0.7216,0.8251,0.7667,0.7188,0.9571,0.8528,-1.7,0.5,False,0,2024-10-02 15:56:59
esm-t33-gearnet-pretrained-resiboost,2,0.7644,0.808,0.7333,0.8302,0.9484,0.851,-1.0,0.5,True,1,2024-10-02 15:59:11
esm-t33-gearnet-pretrained-resiboost,3,0.786,0.8447,0.7667,0.8364,0.9698,0.9374,-0.9,0.5,False,0,2024-10-02 16:01:27
esm-t33-gearnet-pretrained-resiboost,3,0.7673,0.8322,0.75,0.8182,0.9695,0.9374,-1.2,0.5,True,1,2024-10-02 16:03:44
esm-t33-gearnet-pretrained-resiboost,4,0.768,0.8561,0.7,0.875,0.9603,0.7752,0.9,0.5,False,0,2024-10-02 16:06:01
esm-t33-gearnet-pretrained-resiboost,4,0.7789,0.8601,0.7167,0.8776,0.9616,0.8139,0.0,0.5,True,1,2024-10-02 16:08:19
esm-t33-gearnet-pretrained-resiboost,0,0.7864,0.8481,0.7,0.913,0.9687,0.9495,0.5,0.9,False,0,2024-10-02 19:46:23
esm-t33-gearnet-pretrained-resiboost,0,0.7864,0.8502,0.7,0.913,0.968,0.9495,0.4,0.9,True,1,2024-10-02 19:48:34
esm-t33-gearnet-pretrained-resiboost,1,0.7883,0.8289,0.85,0.7612,0.9605,0.9057,-2.4,0.9,False,0,2024-10-02 19:50:44
esm-t33-gearnet-pretrained-resiboost,1,0.7883,0.8309,0.85,0.7612,0.9631,0.9057,-2.4,0.9,True,1,2024-10-02 19:52:55
esm-t33-gearnet-pretrained-resiboost,2,0.7756,0.8139,0.6833,0.9111,0.9587,0.8348,0.5,0.9,False,0,2024-10-02 19:55:06
esm-t33-gearnet-pretrained-resiboost,2,0.7756,0.8096,0.6833,0.9111,0.9525,0.8348,0.5,0.9,True,1,2024-10-02 19:57:16
esm-t33-gearnet-pretrained-resiboost,3,0.781,0.8534,0.7333,0.8627,0.9753,0.9374,-1.3,0.9,False,0,2024-10-02 19:59:32
esm-t33-gearnet-pretrained-resiboost,3,0.8024,0.8597,0.7667,0.8679,0.974,0.9374,-1.4,0.9,True,1,2024-10-02 20:01:48
esm-t33-gearnet-pretrained-resiboost,4,0.7864,0.884,0.7,0.913,0.9696,0.8395,0.2,0.9,False,0,2024-10-02 20:04:08
esm-t33-gearnet-pretrained-resiboost,4,0.7864,0.8831,0.7,0.913,0.9663,0.8139,-0.3,0.9,True,1,2024-10-02 20:06:26
esm-t33-gearnet-pretrained-resiboost,0,0.7972,0.8477,0.7167,0.9149,0.9682,0.9495,0.4,0.9,False,0,2024-10-04 04:09:01
esm-t33-gearnet-pretrained-resiboost,0,0.7879,0.8526,0.7167,0.8958,0.9681,0.9495,0.2,0.9,True,1,2024-10-04 04:11:13
esm-t33-gearnet-pretrained-resiboost,1,0.7914,0.8247,0.8333,0.7812,0.9609,0.9057,-2.0,0.9,False,0,2024-10-04 04:13:23
esm-t33-gearnet-pretrained-resiboost,1,0.7914,0.8256,0.8333,0.7812,0.9589,0.9057,-2.1,0.9,True,1,2024-10-04 04:15:34
esm-t33-gearnet-pretrained-resiboost,2,0.7756,0.8168,0.6833,0.9111,0.9581,0.8348,0.5,0.9,False,0,2024-10-04 04:17:45
esm-t33-gearnet-pretrained-resiboost,2,0.7756,0.813,0.6833,0.9111,0.9566,0.8348,0.3,0.9,True,1,2024-10-04 04:19:56
esm-t33-gearnet-pretrained-resiboost,3,0.8073,0.8517,0.8,0.8421,0.9717,0.9374,-1.9,0.9,False,0,2024-10-04 04:22:12
esm-t33-gearnet-pretrained-resiboost,3,0.786,0.8556,0.7667,0.8364,0.9692,0.9091,-1.8,0.9,True,1,2024-10-04 04:24:29
esm-t33-gearnet-pretrained-resiboost,4,0.7972,0.8806,0.7167,0.9149,0.963,0.8139,-0.4,0.9,False,0,2024-10-04 04:26:47
esm-t33-gearnet-pretrained-resiboost,4,0.7756,0.8797,0.6833,0.9111,0.9677,0.8013,0.1,0.9,True,1,2024-10-04 04:29:02
