model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,0,0.0,0.0433,0.0,,0.1981,0.247,-0.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 04:43:56
esm-t33-gearnet-pretrained,0,0.0,0.0435,0.0,,0.218,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 04:44:00
esm-t33-gearnet-pretrained,0,0.0,0.0459,0.0,,0.2591,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 04:44:05
esm-t33-gearnet-pretrained,0,0.0,0.0531,0.0,,0.3631,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 04:44:10
esm-t33-gearnet-pretrained,0,0.0337,0.378,1.0,0.0732,0.8855,0.0342,3.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 04:44:14
esm-t33-gearnet-pretrained,0,0.0,0.3097,1.0,0.0721,0.8379,0.0,-5.0,0.0003,0.003,2,30,empty,5,2024-10-01 04:44:19
esm-t33-gearnet-pretrained,0,-0.0257,0.0438,0.0,0.0,0.2172,0.247,-1.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 04:44:24
esm-t33-gearnet-pretrained,0,0.2363,0.3697,0.3,0.2857,0.7801,0.3712,2.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 04:44:29
esm-t33-gearnet-pretrained,0,0.0,0.0933,0.0,,0.6381,0.0,-2.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 04:44:35
esm-t33-gearnet-pretrained,0,-0.0097,0.0643,0.0,0.0,0.4846,0.0,-4.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 04:44:40
esm-t33-gearnet-pretrained,0,0.1966,0.2924,0.6,0.1532,0.7309,0.173,3.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 04:44:45
esm-t33-gearnet-pretrained,0,-0.0137,0.0554,0.0,0.0,0.3986,0.0,1.6,0.0003,0.003,3,30,empty,11,2024-10-01 04:44:51
esm-t33-gearnet-pretrained,0,0.0312,0.0651,0.0167,0.1667,0.3986,0.247,0.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 04:44:57
esm-t33-gearnet-pretrained,0,0.8054,0.8618,0.8667,0.7761,0.9759,0.8537,2.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 04:45:03
esm-t33-gearnet-pretrained,0,0.0252,0.24,0.0167,0.1429,0.8144,0.2571,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 04:45:10
esm-t33-gearnet-pretrained,0,-0.0097,0.0639,0.0,0.0,0.4809,0.0,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 04:45:16
esm-t33-gearnet-pretrained,0,-0.0097,0.0577,0.0,0.0,0.4234,0.0,3.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 04:45:22
esm-t33-gearnet-pretrained,0,0.205,0.5412,1.0,0.1111,0.9074,0.1814,3.0,0.0003,0.003,4,30,empty,17,2024-10-01 04:45:29
esm-t33-gearnet-pretrained,0,0.6512,0.6089,0.5333,0.8421,0.7841,0.8288,-0.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 04:45:37
esm-t33-gearnet-pretrained,0,0.6287,0.7383,0.6833,0.6308,0.9362,0.8229,3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 04:45:45
esm-t33-gearnet-pretrained,0,0.7153,0.7867,0.7167,0.7544,0.9528,0.8658,2.8,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 04:45:53
esm-t33-gearnet-pretrained,0,-0.0137,0.0876,0.0,0.0,0.6118,0.0,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,21,2024-10-01 04:46:01
esm-t33-gearnet-pretrained,0,0.2677,0.2008,0.1167,0.7,0.6869,0.4309,-2.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,22,2024-10-01 04:46:09
esm-t33-gearnet-pretrained,0,0.599,0.6512,0.6,0.6545,0.9025,0.863,1.2,0.0003,0.003,6,30,empty,23,2024-10-01 04:46:17
esm-t33-gearnet-pretrained,0,0.7534,0.8146,0.65,0.907,0.9595,0.9476,3.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,24,2024-10-01 04:46:29
esm-t33-gearnet-pretrained,0,0.7515,0.824,0.6167,0.9487,0.9697,0.9315,3.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,25,2024-10-01 04:46:40
esm-t33-gearnet-pretrained,0,0.8234,0.8396,0.8,0.8727,0.9668,0.905,0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,26,2024-10-01 04:46:52
esm-t33-gearnet-pretrained,0,0.7115,0.7741,0.6167,0.8605,0.9527,0.8864,1.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,27,2024-10-01 04:47:03
esm-t33-gearnet-pretrained,0,0.7263,0.772,0.7,0.7925,0.967,0.8914,-0.6,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,28,2024-10-01 04:47:15
esm-t33-gearnet-pretrained,0,0.7661,0.8693,0.6833,0.8913,0.9782,0.9495,1.0,0.0003,0.003,10,30,empty,29,2024-10-01 04:47:26
esm-t33-gearnet-pretrained,1,0.0158,0.0579,0.0167,0.1111,0.3488,0.2351,-1.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 04:47:30
esm-t33-gearnet-pretrained,1,0.0,0.06,0.0,,0.4289,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 04:47:35
esm-t33-gearnet-pretrained,1,0.0,0.0475,0.0,,0.2829,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 04:47:40
esm-t33-gearnet-pretrained,1,0.0,0.0473,0.0,,0.2762,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 04:47:44
esm-t33-gearnet-pretrained,1,0.1232,0.3069,0.8833,0.0941,0.8241,0.1635,-1.4,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 04:47:49
esm-t33-gearnet-pretrained,1,0.0,0.0473,0.0,,0.2818,0.0,-5.0,0.0003,0.003,2,30,empty,5,2024-10-01 04:47:53
