model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-resiboost,0,0.7368,0.8138,0.6667,0.8511,0.9546,0.9658,0.9,0.5,False,0,2024-10-02 15:26:01
esm-t33-gearnet-resiboost,0,0.6997,0.7976,0.6,0.8571,0.9363,0.9828,0.7,0.5,True,1,2024-10-02 15:28:11
esm-t33-gearnet-resiboost,1,0.7028,0.8016,0.85,0.622,0.9444,0.9057,-1.8,0.5,False,0,2024-10-02 15:30:25
esm-t33-gearnet-resiboost,1,0.645,0.7897,0.85,0.5368,0.9403,0.9057,-2.2,0.5,True,1,2024-10-02 15:32:35
esm-t33-gearnet-resiboost,2,0.7789,0.7818,0.7167,0.8776,0.9326,0.8348,-0.4,0.5,False,0,2024-10-02 15:34:48
esm-t33-gearnet-resiboost,2,0.7534,0.7776,0.7167,0.8269,0.9277,0.8348,-1.1,0.5,True,1,2024-10-02 15:36:59
esm-t33-gearnet-resiboost,3,0.7889,0.8287,0.7833,0.8246,0.9566,0.9091,-1.2,0.5,False,0,2024-10-02 15:39:15
esm-t33-gearnet-resiboost,3,0.786,0.8321,0.7667,0.8364,0.9667,0.9374,-1.1,0.5,True,1,2024-10-02 15:41:30
esm-t33-gearnet-resiboost,4,0.7569,0.8484,0.6833,0.8723,0.9584,0.8139,0.4,0.5,False,0,2024-10-02 15:43:46
esm-t33-gearnet-resiboost,4,0.7422,0.8524,0.6333,0.9048,0.9712,0.8675,0.4,0.5,True,1,2024-10-02 15:46:01
esm-t33-gearnet-resiboost,0,0.7458,0.7906,0.6667,0.8696,0.941,0.9495,0.5,0.9,False,0,2024-10-02 19:24:01
esm-t33-gearnet-resiboost,0,0.7308,0.8125,0.6167,0.9024,0.9555,0.9653,0.7,0.9,True,1,2024-10-02 19:26:11
esm-t33-gearnet-resiboost,1,0.6535,0.7908,0.7667,0.6053,0.9335,0.9057,-2.2,0.9,False,0,2024-10-02 19:28:22
esm-t33-gearnet-resiboost,1,0.6687,0.7816,0.75,0.6429,0.9313,0.9057,-2.5,0.9,True,1,2024-10-02 19:30:42
esm-t33-gearnet-resiboost,2,0.7515,0.7628,0.6167,0.9487,0.9235,0.8339,0.7,0.9,False,0,2024-10-02 19:32:52
esm-t33-gearnet-resiboost,2,0.7634,0.7639,0.65,0.9286,0.9163,0.8339,0.9,0.9,True,1,2024-10-02 19:35:02
esm-t33-gearnet-resiboost,3,0.7967,0.8394,0.7833,0.8393,0.967,0.9091,-1.9,0.9,False,0,2024-10-02 19:37:27
esm-t33-gearnet-resiboost,3,0.781,0.8289,0.7333,0.8627,0.966,0.904,-1.3,0.9,True,1,2024-10-02 19:39:42
esm-t33-gearnet-resiboost,4,0.7422,0.8686,0.6333,0.9048,0.9725,0.8299,0.5,0.9,False,0,2024-10-02 19:41:57
esm-t33-gearnet-resiboost,4,0.7308,0.8648,0.6167,0.9024,0.9685,0.8299,0.5,0.9,True,1,2024-10-02 19:44:12
esm-t33-gearnet-resiboost,0,0.7115,0.771,0.6167,0.8605,0.9389,0.9828,0.6,0.9,False,0,2024-10-04 03:46:59
esm-t33-gearnet-resiboost,0,0.7661,0.7916,0.6833,0.8913,0.9482,0.9495,0.4,0.9,True,1,2024-10-04 03:49:09
esm-t33-gearnet-resiboost,1,0.6854,0.772,0.7833,0.6438,0.9243,0.9057,-2.6,0.9,False,0,2024-10-04 03:51:19
esm-t33-gearnet-resiboost,1,0.7216,0.7823,0.7667,0.7188,0.9272,0.9057,-2.3,0.9,True,1,2024-10-04 03:53:29
esm-t33-gearnet-resiboost,2,0.7592,0.7628,0.7,0.8571,0.912,0.8204,-0.3,0.9,False,0,2024-10-04 03:55:38
esm-t33-gearnet-resiboost,2,0.7486,0.7762,0.7333,0.8,0.9355,0.8204,-1.0,0.9,True,1,2024-10-04 03:57:48
esm-t33-gearnet-resiboost,3,0.757,0.8242,0.85,0.7083,0.9666,0.8829,-2.6,0.9,False,0,2024-10-04 04:00:03
esm-t33-gearnet-resiboost,3,0.7391,0.8278,0.7833,0.7344,0.9597,0.9091,-2.3,0.9,True,1,2024-10-04 04:02:18
esm-t33-gearnet-resiboost,4,0.7646,0.8612,0.6667,0.9091,0.9628,0.8395,0.1,0.9,False,0,2024-10-04 04:04:33
esm-t33-gearnet-resiboost,4,0.7523,0.8786,0.6333,0.9268,0.9734,0.8299,0.3,0.9,True,1,2024-10-04 04:06:51
