model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-pretrained,0,0.7646,0.8326,0.6667,0.9091,0.9505,0.9341,-0.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,0,2024-10-01 15:02:20
esm-t33-pretrained,0,0.7325,0.827,0.6333,0.8837,0.9616,0.8864,-0.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,1,2024-10-01 15:02:25
esm-t33-pretrained,0,0.7515,0.8538,0.6167,0.9487,0.9649,0.8727,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,2,2024-10-01 15:02:31
esm-t33-pretrained,0,0.7325,0.8697,0.6333,0.8837,0.9631,0.8973,0.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,3,2024-10-01 15:02:36
esm-t33-pretrained,0,0.7771,0.8765,0.7,0.8936,0.9633,0.9158,-0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,4,2024-10-01 15:02:41
esm-t33-pretrained,0,0.6636,0.7642,0.55,0.8462,0.9611,0.7741,0.4,0.0003,0.003,3,30,empty,5,2024-10-01 15:02:45
esm-t33-pretrained,0,0.7325,0.8426,0.6333,0.8837,0.9498,0.9341,0.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-4_0.pt,6,2024-10-01 15:02:50
esm-t33-pretrained,0,0.718,0.8579,0.5833,0.9211,0.9714,0.8914,0.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-4_0.pt,7,2024-10-01 15:02:55
esm-t33-pretrained,0,0.7325,0.8672,0.6333,0.8837,0.9652,0.9315,0.8,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-5_0.pt,8,2024-10-01 15:03:01
esm-t33-pretrained,0,0.721,0.8603,0.6167,0.881,0.9702,0.93,1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr1e-5_0.pt,9,2024-10-01 15:03:06
esm-t33-pretrained,0,0.7422,0.8459,0.6333,0.9048,0.9429,0.948,0.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-lr3e-6_0.pt,10,2024-10-01 15:03:12
esm-t33-pretrained,0,0.811,0.8288,0.7667,0.8846,0.9704,0.8784,-4.0,0.0003,0.003,4,30,empty,11,2024-10-01 15:03:16
