model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at
esm-t33-gearnet-adaboost-r10,0,0.5724,0.6072,0.5,0.7143,0.8748,0.8565,0.1,2024-06-16 20:14:39
esm-t33-gearnet-adaboost-r10,1,0.4117,0.4541,0.3,0.6429,0.8347,0.632,0.2,2024-06-16 20:17:53
esm-t33-gearnet-adaboost-r10,2,0.7423,0.7993,0.7,0.8235,0.9553,0.8348,0.2,2024-06-16 20:21:07
esm-t33-gearnet-adaboost-r10,3,0.723,0.7881,0.6333,0.8636,0.9556,0.9374,-0.2,2024-06-16 20:24:30
esm-t33-gearnet-adaboost-r10,4,0.7661,0.8196,0.6833,0.8913,0.9627,0.8614,0.1,2024-06-16 20:27:50
esm-t33-gearnet-resiboost-r10,0,0.7189,0.8291,0.8,0.6857,0.9751,0.8537,0.8,2024-06-16 20:31:05
esm-t33-gearnet-resiboost-r10,1,0.6742,0.797,0.8833,0.5579,0.9561,0.8824,0.5,2024-06-16 20:34:19
esm-t33-gearnet-resiboost-r10,2,0.7225,0.7829,0.7167,0.7679,0.9254,0.8204,0.8,2024-06-16 20:37:32
esm-t33-gearnet-resiboost-r10,3,0.7606,0.8158,0.8167,0.7424,0.957,0.9091,0.8,2024-06-16 20:40:54
esm-t33-gearnet-resiboost-r10,4,0.7735,0.8633,0.8667,0.7222,0.9778,0.649,0.9,2024-06-16 20:44:15
esm-t33-gearnet-pretrained-adaboost-r10,0,0.6957,0.7767,0.5667,0.8947,0.9459,0.948,0.3,2024-06-16 20:47:46
esm-t33-gearnet-pretrained-adaboost-r10,1,0.7368,0.7516,0.6667,0.8511,0.9435,0.8536,0.2,2024-06-16 20:51:18
esm-t33-gearnet-pretrained-adaboost-r10,2,0.7187,0.7885,0.7,0.7778,0.9421,0.8184,-0.2,2024-06-16 20:54:50
esm-t33-gearnet-pretrained-adaboost-r10,3,0.7986,0.8265,0.7333,0.898,0.9396,0.904,-0.5,2024-06-16 20:58:27
esm-t33-gearnet-pretrained-adaboost-r10,4,0.6957,0.8202,0.5667,0.8947,0.9609,0.8981,0.8,2024-06-16 21:02:03
esm-t33-gearnet-pretrained-resiboost-r10,0,0.7702,0.8567,0.7167,0.86,0.971,0.9341,0.7,2024-06-16 21:05:34
esm-t33-gearnet-pretrained-resiboost-r10,1,0.7768,0.8744,0.9,0.7013,0.9589,0.9057,-0.7,2024-06-16 21:09:06
esm-t33-gearnet-pretrained-resiboost-r10,2,0.7391,0.8262,0.7833,0.7344,0.9395,0.8528,-0.8,2024-06-16 21:12:37
esm-t33-gearnet-pretrained-resiboost-r10,3,0.8004,0.8454,0.75,0.8824,0.9524,0.9374,0.1,2024-06-16 21:16:15
esm-t33-gearnet-pretrained-resiboost-r10,4,0.7986,0.8666,0.7333,0.898,0.9613,0.7479,0.9,2024-06-16 21:19:52
esm-t33,0,0.7534,0.88,0.65,0.907,0.9748,0.948,0.7,2024-06-16 21:20:05
esm-t33,1,0.7036,0.8561,0.6667,0.7843,0.9649,0.8712,-3.0,2024-06-16 21:20:18
esm-t33,2,0.7308,0.823,0.6167,0.9024,0.9298,0.8204,0.4,2024-06-16 21:20:31
esm-t33,3,0.7523,0.8473,0.6333,0.9268,0.943,0.9024,0.3,2024-06-16 21:20:44
esm-t33,4,0.786,0.8534,0.7667,0.8364,0.9495,0.6895,-3.0,2024-06-16 21:20:57
esm-t33-pretrained,0,0.7879,0.8031,0.7167,0.8958,0.9328,0.8914,-2.0,2024-06-16 21:21:11
esm-t33-pretrained,1,0.6823,0.8151,0.5333,0.9143,0.9354,0.8864,0.6,2024-06-16 21:21:25
esm-t33-pretrained,2,0.7308,0.7921,0.6167,0.9024,0.881,0.8065,0.6,2024-06-16 21:21:40
esm-t33-pretrained,3,0.7986,0.8855,0.7333,0.898,0.9778,0.9358,0.6,2024-06-16 21:21:54
esm-t33-pretrained,4,0.768,0.8632,0.7,0.875,0.951,0.6885,0.9,2024-06-16 21:22:09
esm-t33-gearnet,0,0.6806,0.784,0.7333,0.6769,0.9462,0.8537,1.0,2024-06-16 21:22:26
esm-t33-gearnet,1,0.7153,0.797,0.7667,0.7077,0.9498,0.8606,-0.1,2024-06-16 21:22:44
esm-t33-gearnet,2,0.704,0.7845,0.7,0.75,0.9484,0.8037,0.5,2024-06-16 21:23:01
esm-t33-gearnet,3,0.7506,0.8246,0.7,0.84,0.9555,0.9374,-0.5,2024-06-16 21:23:20
esm-t33-gearnet,4,0.7345,0.8641,0.65,0.8667,0.9633,0.7479,0.9,2024-06-16 21:23:38
esm-t33-gearnet-pretrained,0,0.721,0.8315,0.6167,0.881,0.9658,0.9495,1.0,2024-06-16 21:23:58
esm-t33-gearnet-pretrained,1,0.7411,0.8403,0.7333,0.7857,0.9533,0.8712,-3.0,2024-06-16 21:24:17
esm-t33-gearnet-pretrained,2,0.7661,0.8211,0.6833,0.8913,0.9364,0.8348,0.1,2024-06-16 21:24:36
esm-t33-gearnet-pretrained,3,0.7265,0.8196,0.7333,0.7586,0.9643,0.9091,-3.0,2024-06-16 21:24:57
esm-t33-gearnet-pretrained,4,0.721,0.8392,0.6167,0.881,0.964,0.8139,0.3,2024-06-16 21:25:18
esm-t33-gearnet-ensemble,0,0.7308,0.7582,0.6167,0.9024,0.9531,0.93,-0.5,2024-06-20 14:19:15
esm-t33-gearnet-ensemble,1,0.6833,0.7774,0.7,0.7119,0.948,0.8743,-3.0,2024-06-20 14:22:31
esm-t33-gearnet-ensemble,2,0.7617,0.7969,0.7167,0.8431,0.9521,0.8037,0.0,2024-06-20 14:25:45
esm-t33-gearnet-ensemble,3,0.7376,0.8358,0.7167,0.7963,0.9733,0.9374,-1.2,2024-06-20 14:29:10
esm-t33-gearnet-ensemble,4,0.7661,0.8513,0.6833,0.8913,0.9752,0.7902,0.6,2024-06-20 14:32:34
esm-t33-gearnet-pretrained-ensemble,0,0.7438,0.8316,0.65,0.8864,0.9655,0.9341,0.1,2024-06-20 14:36:04
esm-t33-gearnet-pretrained-ensemble,1,0.7521,0.8417,0.75,0.7895,0.9539,0.8712,-3.0,2024-06-20 14:39:34
esm-t33-gearnet-pretrained-ensemble,2,0.7756,0.8199,0.6833,0.9111,0.9363,0.8348,0.2,2024-06-20 14:43:01
esm-t33-gearnet-pretrained-ensemble,3,0.7229,0.8197,0.6833,0.8039,0.966,0.9374,-2.0,2024-06-20 14:46:37
esm-t33-gearnet-pretrained-ensemble,4,0.7115,0.8353,0.6167,0.8605,0.9629,0.8139,0.1,2024-06-20 14:50:14
esm-t33-gearnet-640-adaboost-r10,0,0.7422,0.8246,0.6333,0.9048,0.9239,0.9653,0.2,2024-06-21 22:28:52
esm-t33-gearnet-640-adaboost-r10,1,0.721,0.7343,0.6167,0.881,0.8758,0.8389,-0.4,2024-06-21 22:31:22
esm-t33-gearnet-640-adaboost-r10,2,0.7534,0.7572,0.65,0.907,0.9405,0.8037,0.0,2024-06-21 22:33:52
esm-t33-gearnet-640-adaboost-r10,3,0.8093,0.7664,0.75,0.9,0.9266,0.904,-0.3,2024-06-21 22:36:26
esm-t33-gearnet-640-adaboost-r10,4,0.8319,0.8501,0.8,0.8889,0.959,0.828,-0.2,2024-06-21 22:39:00
esm-t33-gearnet-640-resiboost-r10,0,0.8204,0.8628,0.8333,0.8333,0.9552,0.905,0.3,2024-06-21 22:41:29
esm-t33-gearnet-640-resiboost-r10,1,0.7901,0.826,0.8833,0.7361,0.9408,0.8886,-0.3,2024-06-21 22:43:59
esm-t33-gearnet-640-resiboost-r10,2,0.7771,0.7846,0.7,0.8936,0.8909,0.8348,0.7,2024-06-21 22:46:26
esm-t33-gearnet-640-resiboost-r10,3,0.7919,0.8224,0.8,0.8136,0.9425,0.9091,0.2,2024-06-21 22:48:59
esm-t33-gearnet-640-resiboost-r10,4,0.8262,0.8686,0.8667,0.8125,0.9531,0.7325,0.2,2024-06-21 22:51:32
esm-t33-gearnet-640-ensemble,0,0.7438,0.8199,0.65,0.8864,0.943,0.905,0.8,2024-06-21 22:54:00
esm-t33-gearnet-640-ensemble,1,0.7592,0.8072,0.7,0.8571,0.9224,0.8712,-2.2,2024-06-21 22:56:28
esm-t33-gearnet-640-ensemble,2,0.7756,0.7895,0.6833,0.9111,0.923,0.8037,0.1,2024-06-21 22:58:58
esm-t33-gearnet-640-ensemble,3,0.8288,0.8525,0.7667,0.92,0.953,0.9374,-0.9,2024-06-21 23:01:31
esm-t33-gearnet-640-ensemble,4,0.7972,0.8689,0.7167,0.9149,0.9521,0.828,-0.2,2024-06-21 23:04:03
esm-t33-gearnet-640,0,0.7345,0.8189,0.65,0.8667,0.9352,0.9192,0.5,2024-06-21 23:04:17
esm-t33-gearnet-640,1,0.7879,0.8038,0.7167,0.8958,0.9209,0.8864,-1.2,2024-06-21 23:04:30
esm-t33-gearnet-640,2,0.7534,0.7965,0.65,0.907,0.9167,0.8184,1.0,2024-06-21 23:04:44
esm-t33-gearnet-640,3,0.8078,0.8361,0.7333,0.9167,0.9474,0.9374,-0.8,2024-06-21 23:04:58
esm-t33-gearnet-640,4,0.7756,0.8704,0.6833,0.9111,0.9523,0.828,0.3,2024-06-21 23:05:12
esm-t33-gearnet-640-pretrained-adaboost-r10,0,0.7076,0.8513,0.5833,0.8974,0.9591,0.93,0.2,2024-06-22 04:17:26
esm-t33-gearnet-640-pretrained-adaboost-r10,1,0.6563,0.7921,0.4667,0.9655,0.8948,0.8864,0.5,2024-06-22 04:19:57
esm-t33-gearnet-640-pretrained-adaboost-r10,2,0.7394,0.8037,0.6833,0.8367,0.9378,0.8184,-0.4,2024-06-22 04:22:30
esm-t33-gearnet-640-pretrained-adaboost-r10,3,0.7534,0.8067,0.65,0.907,0.9478,0.9358,0.2,2024-06-22 04:25:09
esm-t33-gearnet-640-pretrained-adaboost-r10,4,0.6938,0.8691,0.5,1.0,0.9436,0.8596,0.7,2024-06-22 04:27:44
esm-t33-gearnet-640-pretrained-resiboost-r10,0,0.8047,0.8628,0.7833,0.8545,0.9335,0.905,0.0,2024-06-22 04:30:12
esm-t33-gearnet-640-pretrained-resiboost-r10,1,0.763,0.8292,0.85,0.7183,0.9106,0.8712,-0.8,2024-06-22 04:32:43
esm-t33-gearnet-640-pretrained-resiboost-r10,2,0.7879,0.8106,0.7167,0.8958,0.9141,0.8348,0.0,2024-06-22 04:35:11
esm-t33-gearnet-640-pretrained-resiboost-r10,3,0.7941,0.8356,0.7667,0.8519,0.9387,0.9091,-0.1,2024-06-22 04:37:47
esm-t33-gearnet-640-pretrained-resiboost-r10,4,0.7986,0.8828,0.7333,0.898,0.9605,0.7289,0.7,2024-06-22 04:40:22
esm-t33-gearnet-640-pretrained-ensemble,0,0.7646,0.8397,0.6667,0.9091,0.9503,0.9192,0.8,2024-06-22 04:42:53
esm-t33-gearnet-640-pretrained-ensemble,1,0.7646,0.8079,0.6667,0.9091,0.9247,0.8864,-0.1,2024-06-22 04:45:25
esm-t33-gearnet-640-pretrained-ensemble,2,0.7506,0.8077,0.7,0.84,0.9209,0.8348,-3.0,2024-06-22 04:47:55
esm-t33-gearnet-640-pretrained-ensemble,3,0.7941,0.7999,0.7667,0.8519,0.9245,0.9374,-1.4,2024-06-22 04:50:30
esm-t33-gearnet-640-pretrained-ensemble,4,0.7771,0.8508,0.7,0.8936,0.9584,0.8013,0.7,2024-06-22 04:53:03
esm-t33-gearnet-640-pretrained,0,0.7646,0.8404,0.6667,0.9091,0.9502,0.9192,0.8,2024-06-22 04:53:17
esm-t33-gearnet-640-pretrained,1,0.7646,0.8078,0.6667,0.9091,0.9245,0.8864,-0.3,2024-06-22 04:53:31
esm-t33-gearnet-640-pretrained,2,0.7394,0.8044,0.6833,0.8367,0.9184,0.8184,-3.0,2024-06-22 04:53:46
esm-t33-gearnet-640-pretrained,3,0.7782,0.799,0.7667,0.8214,0.925,0.9374,-1.4,2024-06-22 04:54:00
esm-t33-gearnet-640-pretrained,4,0.7661,0.8508,0.6833,0.8913,0.9568,0.8013,0.6,2024-06-22 04:54:14
esm-t33-gearnet-960-2,0,0.7139,0.7998,0.6333,0.8444,0.9505,0.8658,1.0,2024-06-22 22:40:07
esm-t33-gearnet-960-2,1,0.7183,0.8062,0.8167,0.6712,0.9505,0.9057,-2.4,2024-06-22 22:40:23
esm-t33-gearnet-960-2,2,0.781,0.8,0.7333,0.8627,0.9561,0.8339,0.5,2024-06-22 22:40:40
esm-t33-gearnet-960-2,3,0.7771,0.775,0.7,0.8936,0.9579,0.9091,0.2,2024-06-22 22:40:57
esm-t33-gearnet-960-2,4,0.7402,0.785,0.6,0.9474,0.962,0.8675,-0.4,2024-06-22 22:41:13
esm-t33-gearnet-960-2-pretrained,0,0.723,0.8293,0.6333,0.8636,0.9541,0.9341,0.5,2024-06-22 22:41:30
esm-t33-gearnet-960-2-pretrained,1,0.7661,0.787,0.6833,0.8913,0.933,0.8886,-1.7,2024-06-22 22:41:46
esm-t33-gearnet-960-2-pretrained,2,0.7368,0.7662,0.6667,0.8511,0.9356,0.8037,0.8,2024-06-22 22:42:03
esm-t33-gearnet-960-2-pretrained,3,0.7062,0.7911,0.5667,0.9189,0.9448,0.9024,1.0,2024-06-22 22:42:20
esm-t33-gearnet-960-2-pretrained,4,0.7918,0.844,0.75,0.8654,0.9554,0.8514,-2.2,2024-06-22 22:42:37
esm-t33-gearnet-960-2-ensemble,0,0.7569,0.8365,0.6833,0.8723,0.9619,0.905,0.9,2024-06-22 22:45:30
esm-t33-gearnet-960-2-ensemble,1,0.7411,0.819,0.7333,0.7857,0.9566,0.8886,-1.9,2024-06-22 22:48:22
esm-t33-gearnet-960-2-ensemble,2,0.7481,0.7958,0.6833,0.8542,0.9492,0.8339,0.5,2024-06-22 22:51:15
esm-t33-gearnet-960-2-ensemble,3,0.8184,0.8533,0.75,0.9184,0.9701,0.9374,-1.5,2024-06-22 22:54:13
esm-t33-gearnet-960-2-ensemble,4,0.7864,0.8619,0.7,0.913,0.9727,0.7902,-0.2,2024-06-22 22:57:12
esm-t33-gearnet-960-2-pretrained-ensemble,0,0.723,0.8269,0.6333,0.8636,0.9544,0.9341,0.6,2024-06-22 23:00:06
esm-t33-gearnet-960-2-pretrained-ensemble,1,0.7569,0.7865,0.6833,0.8723,0.9329,0.8886,-1.8,2024-06-22 23:03:01
esm-t33-gearnet-960-2-pretrained-ensemble,2,0.7197,0.7635,0.6667,0.8163,0.936,0.8037,0.9,2024-06-22 23:05:55
esm-t33-gearnet-960-2-pretrained-ensemble,3,0.7062,0.7912,0.5667,0.9189,0.9442,0.9024,0.9,2024-06-22 23:08:53
esm-t33-gearnet-960-2-pretrained-ensemble,4,0.7918,0.8434,0.75,0.8654,0.9553,0.8514,-2.1,2024-06-22 23:11:54
esm-t33-gearnet-960-2-adaboost-r10,0,0.6386,0.7549,0.5167,0.8378,0.9526,0.893,0.7,2024-06-22 23:14:45
esm-t33-gearnet-960-2-adaboost-r10,1,0.7126,0.7847,0.7333,0.7333,0.9385,0.9359,-0.5,2024-06-22 23:17:39
esm-t33-gearnet-960-2-adaboost-r10,2,0.6312,0.7175,0.6167,0.6981,0.919,0.7415,0.5,2024-06-22 23:20:34
esm-t33-gearnet-960-2-adaboost-r10,3,0.7458,0.8393,0.6667,0.8696,0.9712,0.8749,-0.1,2024-06-22 23:23:33
esm-t33-gearnet-960-2-adaboost-r10,4,0.7288,0.8413,0.5833,0.9459,0.9705,0.8614,0.8,2024-06-22 23:26:32
esm-t33-gearnet-960-2-pretrained-adaboost-r10,0,0.7023,0.8118,0.6167,0.8409,0.9614,0.9495,0.0,2024-06-22 23:29:26
esm-t33-gearnet-960-2-pretrained-adaboost-r10,1,0.7076,0.7681,0.5833,0.8974,0.9249,0.9057,0.1,2024-06-22 23:32:23
esm-t33-gearnet-960-2-pretrained-adaboost-r10,2,0.6975,0.7455,0.5833,0.875,0.9278,0.7309,0.3,2024-06-22 23:35:18
esm-t33-gearnet-960-2-pretrained-adaboost-r10,3,0.7534,0.7994,0.65,0.907,0.9324,0.9374,-0.7,2024-06-22 23:38:19
esm-t33-gearnet-960-2-pretrained-adaboost-r10,4,0.6175,0.8059,0.4167,0.9615,0.9447,0.7837,0.5,2024-06-22 23:41:19
esm-t33-gearnet-960-2-resiboost-r10,0,0.7889,0.827,0.7833,0.8246,0.9552,0.8914,0.8,2024-06-22 23:44:14
esm-t33-gearnet-960-2-resiboost-r10,1,0.7479,0.8116,0.8167,0.7206,0.9477,0.9057,0.8,2024-06-22 23:47:07
esm-t33-gearnet-960-2-resiboost-r10,2,0.781,0.789,0.7333,0.8627,0.9353,0.8204,0.5,2024-06-22 23:50:00
esm-t33-gearnet-960-2-resiboost-r10,3,0.8152,0.8394,0.8,0.8571,0.9675,0.9091,0.8,2024-06-22 23:52:58
esm-t33-gearnet-960-2-resiboost-r10,4,0.844,0.8618,0.8333,0.8772,0.9756,0.7493,0.6,2024-06-22 23:55:58
esm-t33-gearnet-960-2-pretrained-resiboost-r10,0,0.7834,0.8531,0.75,0.8491,0.9715,0.8914,0.8,2024-06-22 23:58:54
esm-t33-gearnet-960-2-pretrained-resiboost-r10,1,0.7392,0.8343,0.8667,0.6667,0.9667,0.9057,-0.2,2024-06-23 00:01:48
esm-t33-gearnet-960-2-pretrained-resiboost-r10,2,0.7557,0.8027,0.7667,0.7797,0.9448,0.8348,-0.1,2024-06-23 00:04:42
esm-t33-gearnet-960-2-pretrained-resiboost-r10,3,0.8093,0.8417,0.75,0.9,0.9583,0.9374,0.7,2024-06-23 00:07:43
esm-t33-gearnet-960-2-pretrained-resiboost-r10,4,0.8152,0.8652,0.8,0.8571,0.9661,0.7671,0.3,2024-06-23 00:10:44
esm-t33-gearnet-800-3,0,0.7454,0.8353,0.7167,0.8113,0.9621,0.905,0.8,2024-06-22 19:45:55
esm-t33-gearnet-800-3,1,0.7288,0.7673,0.5833,0.9459,0.9408,0.8536,0.5,2024-06-22 19:46:15
esm-t33-gearnet-800-3,2,0.5873,0.7149,0.5667,0.6667,0.9375,0.7522,-0.3,2024-06-22 19:46:35
esm-t33-gearnet-800-3,3,0.6466,0.7721,0.7333,0.6197,0.957,0.8829,-1.5,2024-06-22 19:46:56
esm-t33-gearnet-800-3,4,0.7525,0.8192,0.7833,0.7581,0.9544,0.7493,0.4,2024-06-22 19:47:18
esm-t33-gearnet-800-3-pretrained,0,0.7771,0.843,0.7,0.8936,0.9771,0.905,0.0,2024-06-22 19:47:38
esm-t33-gearnet-800-3-pretrained,1,0.7285,0.7787,0.5667,0.9714,0.9138,0.8851,0.0,2024-06-22 19:47:59
esm-t33-gearnet-800-3-pretrained,2,0.755,0.803,0.6667,0.8889,0.9472,0.8037,-2.4,2024-06-22 19:48:20
esm-t33-gearnet-800-3-pretrained,3,0.7782,0.8204,0.7667,0.8214,0.9681,0.9374,-2.0,2024-06-22 19:48:41
