model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-pretrained-resiboost,0,0.5668,0.716,0.4237,0.8065,0.945,0.9,0.9,0.5,False,0,2024-10-02 14:48:37
esm-t33-gearnet-pretrained-resiboost,0,0.5979,0.6916,0.5085,0.75,0.9509,0.8942,-0.4,0.5,True,1,2024-10-02 14:52:24
esm-t33-gearnet-pretrained-resiboost,1,0.6551,0.6966,0.6271,0.7255,0.9329,0.7502,-0.9,0.5,False,0,2024-10-02 14:56:22
esm-t33-gearnet-pretrained-resiboost,1,0.5503,0.7016,0.7119,0.4773,0.9399,0.7516,-3.0,0.5,True,1,2024-10-02 15:00:21
esm-t33-gearnet-pretrained-resiboost,2,0.7026,0.7582,0.6271,0.8222,0.9445,0.7718,0.7,0.5,False,0,2024-10-02 15:04:18
esm-t33-gearnet-pretrained-resiboost,2,0.6941,0.7585,0.6271,0.8043,0.9459,0.7808,0.1,0.5,True,1,2024-10-02 15:08:15
esm-t33-gearnet-pretrained-resiboost,3,0.6154,0.6962,0.6102,0.6667,0.9443,0.9406,-1.3,0.5,False,0,2024-10-02 15:12:07
esm-t33-gearnet-pretrained-resiboost,3,0.4956,0.6973,0.3051,0.8571,0.9415,0.9499,0.6,0.5,True,1,2024-10-02 15:16:02
esm-t33-gearnet-pretrained-resiboost,4,0.5232,0.6209,0.4068,0.7273,0.9286,0.7615,0.8,0.5,False,0,2024-10-02 15:19:56
esm-t33-gearnet-pretrained-resiboost,4,0.4659,0.6174,0.2881,0.8095,0.929,0.7716,0.9,0.5,True,1,2024-10-02 15:23:49
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.7387,0.3898,0.92,0.9511,0.9073,0.5,0.9,False,0,2024-10-02 18:46:57
esm-t33-gearnet-pretrained-resiboost,0,0.5983,0.7361,0.4746,0.8,0.9545,0.9,0.3,0.9,True,1,2024-10-02 18:50:45
esm-t33-gearnet-pretrained-resiboost,1,0.6099,0.7204,0.661,0.6094,0.9457,0.7549,-2.8,0.9,False,0,2024-10-02 18:54:38
esm-t33-gearnet-pretrained-resiboost,1,0.5649,0.7148,0.6271,0.5606,0.9434,0.7549,-2.7,0.9,True,1,2024-10-02 18:58:31
esm-t33-gearnet-pretrained-resiboost,2,0.66,0.7635,0.5424,0.8421,0.9491,0.7901,0.8,0.9,False,0,2024-10-02 19:02:31
esm-t33-gearnet-pretrained-resiboost,2,0.66,0.762,0.5424,0.8421,0.9482,0.7901,0.6,0.9,True,1,2024-10-02 19:06:21
esm-t33-gearnet-pretrained-resiboost,3,0.6054,0.7091,0.5593,0.7021,0.9502,0.9406,-1.0,0.9,False,0,2024-10-02 19:10:12
esm-t33-gearnet-pretrained-resiboost,3,0.5252,0.7043,0.322,0.9048,0.9504,0.9499,0.6,0.9,True,1,2024-10-02 19:14:06
esm-t33-gearnet-pretrained-resiboost,4,0.4309,0.6138,0.2542,0.7895,0.9323,0.7716,0.8,0.9,False,0,2024-10-02 19:17:58
esm-t33-gearnet-pretrained-resiboost,4,0.4659,0.6243,0.2881,0.8095,0.9337,0.7716,0.4,0.9,True,1,2024-10-02 19:21:50
esm-t33-gearnet-pretrained-resiboost,0,0.5631,0.722,0.4068,0.8276,0.9532,0.9073,0.3,0.9,False,0,2024-10-04 03:09:59
esm-t33-gearnet-pretrained-resiboost,0,0.5185,0.7182,0.3559,0.8077,0.9544,0.9073,0.6,0.9,True,1,2024-10-04 03:13:45
esm-t33-gearnet-pretrained-resiboost,1,0.67,0.7145,0.6271,0.7551,0.9457,0.7502,-1.4,0.9,False,0,2024-10-04 03:17:38
esm-t33-gearnet-pretrained-resiboost,1,0.5914,0.7097,0.6271,0.6066,0.944,0.7549,-2.7,0.9,True,1,2024-10-04 03:21:31
esm-t33-gearnet-pretrained-resiboost,2,0.6505,0.761,0.5424,0.8205,0.9509,0.7761,0.8,0.9,False,0,2024-10-04 03:25:22
esm-t33-gearnet-pretrained-resiboost,2,0.6725,0.76,0.5593,0.8462,0.9472,0.7901,0.4,0.9,True,1,2024-10-04 03:29:13
esm-t33-gearnet-pretrained-resiboost,3,0.6285,0.7159,0.5593,0.75,0.9511,0.9406,-0.7,0.9,False,0,2024-10-04 03:33:06
esm-t33-gearnet-pretrained-resiboost,3,0.5406,0.7119,0.339,0.9091,0.952,0.9499,0.5,0.9,True,1,2024-10-04 03:37:00
esm-t33-gearnet-pretrained-resiboost,4,0.5275,0.6424,0.3898,0.7667,0.9368,0.7716,0.4,0.9,False,0,2024-10-04 03:40:55
esm-t33-gearnet-pretrained-resiboost,4,0.4487,0.6131,0.2712,0.8,0.9323,0.7716,0.7,0.9,True,1,2024-10-04 03:44:48
