model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-gearnet-pretrained,0,0.2394,0.2784,0.1864,0.3929,0.7622,0.3179,-3.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,0,2024-10-01 00:12:01
esm-t33-gearnet-pretrained,0,0.3057,0.5384,0.7627,0.1891,0.8943,0.4631,3.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,1,2024-10-01 00:12:07
esm-t33-gearnet-pretrained,0,0.0,0.0565,0.0,,0.48,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,2,2024-10-01 00:12:14
esm-t33-gearnet-pretrained,0,0.0,0.0417,0.0,,0.3229,0.0,-5.0,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,3,2024-10-01 00:12:20
esm-t33-gearnet-pretrained,0,0.0729,0.094,0.0508,0.2,0.5682,0.238,0.6,0.0003,0.003,2,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,4,2024-10-01 00:12:27
esm-t33-gearnet-pretrained,0,-0.0273,0.0417,0.0,0.0,0.3165,0.0,-4.6,0.0003,0.003,2,30,empty,5,2024-10-01 00:12:33
esm-t33-gearnet-pretrained,0,0.5329,0.5627,0.4576,0.675,0.8662,0.6565,0.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,6,2024-10-01 00:12:41
esm-t33-gearnet-pretrained,0,-0.0309,0.0693,0.0,0.0,0.574,0.2782,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,7,2024-10-01 00:12:49
esm-t33-gearnet-pretrained,0,0.0509,0.1649,0.0508,0.1429,0.7969,0.5435,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,8,2024-10-01 00:12:57
esm-t33-gearnet-pretrained,0,0.161,0.1543,0.3051,0.1714,0.8084,0.1937,-5.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,9,2024-10-01 00:13:05
esm-t33-gearnet-pretrained,0,-0.0082,0.0895,0.0,0.0,0.6694,0.1622,0.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,10,2024-10-01 00:13:13
esm-t33-gearnet-pretrained,0,0.0431,0.0705,0.0678,0.1143,0.5345,0.1103,-2.2,0.0003,0.003,3,30,empty,11,2024-10-01 00:13:21
esm-t33-gearnet-pretrained,0,0.2986,0.3742,0.1356,0.7273,0.8415,0.8574,-1.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,12,2024-10-01 00:13:31
esm-t33-gearnet-pretrained,0,0.5847,0.6454,0.4576,0.7941,0.9334,0.8263,3.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,13,2024-10-01 00:13:41
esm-t33-gearnet-pretrained,0,0.5966,0.621,0.6102,0.6316,0.9085,0.6429,3.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,14,2024-10-01 00:13:51
esm-t33-gearnet-pretrained,0,0.3154,0.2837,0.322,0.3878,0.8709,0.431,-5.0,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-5_0.pt,15,2024-10-01 00:14:00
esm-t33-gearnet-pretrained,0,0.1412,0.1974,0.0339,0.6667,0.7744,0.3471,-1.2,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-6_0.pt,16,2024-10-01 00:14:10
esm-t33-gearnet-pretrained,0,0.4037,0.334,0.2712,0.6667,0.7296,0.48,1.2,0.0003,0.003,4,30,empty,17,2024-10-01 00:14:20
esm-t33-gearnet-pretrained,0,0.5971,0.6089,0.5763,0.6667,0.933,0.8403,-3.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-4_0.pt,18,2024-10-01 00:14:33
esm-t33-gearnet-pretrained,0,0.572,0.7198,0.3898,0.8846,0.951,0.889,-0.6,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr1e-4_0.pt,19,2024-10-01 00:14:46
esm-t33-gearnet-pretrained,0,0.4826,0.6583,0.3898,0.6571,0.9399,0.8807,1.4,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33-gearnet-lr3e-5_0.pt,20,2024-10-01 00:14:59
