model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-resiboost,0,0.6111,0.7006,0.5254,0.7561,0.9434,0.8929,0.0,0.5,False,0,2024-10-02 14:10:09
esm-t33-gearnet-resiboost,0,0.487,0.673,0.322,0.7917,0.9269,0.9155,0.4,0.5,True,1,2024-10-02 14:13:55
esm-t33-gearnet-resiboost,1,0.5971,0.6904,0.6271,0.6167,0.9044,0.7502,-1.4,0.5,False,0,2024-10-02 14:17:48
esm-t33-gearnet-resiboost,1,0.6429,0.7014,0.6102,0.72,0.9033,0.7652,-1.1,0.5,True,1,2024-10-02 14:21:41
esm-t33-gearnet-resiboost,2,0.6505,0.7298,0.5424,0.8205,0.9354,0.7808,0.9,0.5,False,0,2024-10-02 14:25:31
esm-t33-gearnet-resiboost,2,0.6404,0.7217,0.4746,0.9032,0.9299,0.7761,0.7,0.5,True,1,2024-10-02 14:29:21
esm-t33-gearnet-resiboost,3,0.5859,0.6806,0.6271,0.5968,0.9296,0.9406,-1.5,0.5,False,0,2024-10-02 14:33:14
esm-t33-gearnet-resiboost,3,0.5813,0.6586,0.678,0.5479,0.9228,0.9406,-2.0,0.5,True,1,2024-10-02 14:37:07
esm-t33-gearnet-resiboost,4,0.5521,0.5869,0.5424,0.6154,0.9119,0.7565,-1.2,0.5,False,0,2024-10-02 14:40:59
esm-t33-gearnet-resiboost,4,0.4971,0.6025,0.3559,0.75,0.9161,0.7615,0.3,0.5,True,1,2024-10-02 14:44:50
esm-t33-gearnet-resiboost,0,0.5946,0.7207,0.4576,0.8182,0.9406,0.9,-0.1,0.9,False,0,2024-10-02 18:08:37
esm-t33-gearnet-resiboost,0,0.5556,0.7065,0.3559,0.913,0.944,0.9073,0.3,0.9,True,1,2024-10-02 18:12:22
esm-t33-gearnet-resiboost,1,0.5517,0.7055,0.661,0.5132,0.9187,0.7549,-2.9,0.9,False,0,2024-10-02 18:16:13
esm-t33-gearnet-resiboost,1,0.5914,0.7061,0.6271,0.6066,0.9136,0.743,-2.5,0.9,True,1,2024-10-02 18:20:04
esm-t33-gearnet-resiboost,2,0.66,0.7519,0.5424,0.8421,0.9418,0.7808,0.8,0.9,False,0,2024-10-02 18:23:53
esm-t33-gearnet-resiboost,2,0.6573,0.7551,0.5254,0.8611,0.9411,0.7901,0.6,0.9,True,1,2024-10-02 18:27:43
esm-t33-gearnet-resiboost,3,0.5333,0.6803,0.7288,0.4433,0.9365,0.9421,-3.0,0.9,False,0,2024-10-02 18:31:36
esm-t33-gearnet-resiboost,3,0.5116,0.6803,0.322,0.8636,0.9288,0.9499,0.8,0.9,True,1,2024-10-02 18:35:27
esm-t33-gearnet-resiboost,4,0.5125,0.6103,0.3729,0.7586,0.9262,0.7716,0.1,0.9,False,0,2024-10-02 18:39:21
esm-t33-gearnet-resiboost,4,0.4262,0.6207,0.2373,0.8235,0.9271,0.7615,0.7,0.9,True,1,2024-10-02 18:43:11
esm-t33-gearnet-resiboost,0,0.5453,0.7246,0.3729,0.8462,0.9461,0.8929,0.3,0.9,False,0,2024-10-04 02:31:38
esm-t33-gearnet-resiboost,0,0.5696,0.7112,0.3559,0.9545,0.9456,0.8991,0.6,0.9,True,1,2024-10-04 02:35:22
esm-t33-gearnet-resiboost,1,0.6276,0.7121,0.6271,0.6727,0.9197,0.7502,-1.9,0.9,False,0,2024-10-04 02:39:14
esm-t33-gearnet-resiboost,1,0.6503,0.706,0.6102,0.7347,0.9232,0.7532,-1.5,0.9,True,1,2024-10-04 02:43:06
esm-t33-gearnet-resiboost,2,0.6446,0.7555,0.5085,0.8571,0.9442,0.7808,0.8,0.9,False,0,2024-10-04 02:46:56
esm-t33-gearnet-resiboost,2,0.6446,0.7536,0.5085,0.8571,0.9524,0.7901,0.5,0.9,True,1,2024-10-04 02:50:45
esm-t33-gearnet-resiboost,3,0.5631,0.6901,0.4068,0.8276,0.9328,0.9499,0.1,0.9,False,0,2024-10-04 02:54:36
esm-t33-gearnet-resiboost,3,0.5774,0.6921,0.4237,0.8333,0.9368,0.9499,-0.1,0.9,True,1,2024-10-04 02:58:28
esm-t33-gearnet-resiboost,4,0.487,0.6026,0.322,0.7917,0.9332,0.7716,0.4,0.9,False,0,2024-10-04 03:02:20
esm-t33-gearnet-resiboost,4,0.4989,0.6189,0.322,0.8261,0.9282,0.7716,0.4,0.9,True,1,2024-10-04 03:06:10
