model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,hp_combination,finished_at
esm-t33-pretrained,0,0.5518,0.6197,0.5254,0.6327,0.9271,0.8578,0.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1.pt,0,2024-09-29 01:44:59
esm-t33-pretrained,0,0.6273,0.6762,0.678,0.625,0.9015,0.8629,-0.4,0.0003,0.003,3,30,weight/atpbind3d_esm-t33_1.pt,1,2024-09-29 01:45:06
esm-t33-pretrained,0,0.5738,0.7019,0.5085,0.6977,0.91,0.9011,-0.2,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,2,2024-09-29 01:45:14
esm-t33-pretrained,0,0.6276,0.6062,0.6271,0.6727,0.8967,0.8638,0.0,0.0003,0.003,3,30,empty,3,2024-09-29 01:45:20
esm-t33-pretrained,0,0.5716,0.6043,0.5763,0.6182,0.9072,0.8433,0.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1.pt,4,2024-09-29 01:45:28
esm-t33-pretrained,0,0.5925,0.6719,0.6441,0.5938,0.9135,0.8662,-2.0,0.0003,0.003,4,30,weight/atpbind3d_esm-t33_1.pt,5,2024-09-29 01:45:36
esm-t33-pretrained,0,0.5453,0.6662,0.3729,0.8462,0.924,0.8846,0.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,6,2024-09-29 01:45:44
esm-t33-pretrained,0,0.6836,0.6864,0.678,0.7273,0.9161,0.8957,0.2,0.0003,0.003,4,30,empty,7,2024-09-29 01:45:51
esm-t33-pretrained,0,0.5783,0.6554,0.5424,0.6667,0.9242,0.8762,-0.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1.pt,8,2024-09-29 01:46:01
esm-t33-pretrained,0,0.5038,0.6231,0.4407,0.6341,0.9136,0.8874,-0.6,0.0003,0.003,6,30,weight/atpbind3d_esm-t33_1.pt,9,2024-09-29 01:46:11
esm-t33-pretrained,0,0.5319,0.6609,0.4746,0.6512,0.921,0.9055,-1.2,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,10,2024-09-29 01:46:21
esm-t33-pretrained,0,0.5524,0.6518,0.4068,0.8,0.916,0.8909,1.4,0.0003,0.003,6,30,empty,11,2024-09-29 01:46:30
esm-t33-pretrained,0,0.5792,0.6747,0.6102,0.6,0.9359,0.8699,-3.8,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1.pt,12,2024-09-29 01:46:44
esm-t33-pretrained,0,0.6023,0.6412,0.4915,0.7838,0.9162,0.8835,1.2,0.0003,0.003,10,30,weight/atpbind3d_esm-t33_1.pt,13,2024-09-29 01:46:59
esm-t33-pretrained,0,0.5112,0.6613,0.4407,0.65,0.9377,0.8859,-0.2,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,14,2024-09-29 01:47:13
esm-t33-pretrained,0,0.5075,0.6654,0.3559,0.7778,0.9375,0.8984,1.6,0.0003,0.003,10,30,empty,15,2024-09-29 01:47:26
esm-t33-pretrained,1,0.6291,0.66,0.7119,0.6,0.9293,0.7581,-3.0,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1.pt,0,2024-09-29 01:47:33
esm-t33-pretrained,1,0.6735,0.7103,0.7288,0.6615,0.9053,0.7715,-2.8,0.0003,0.003,3,30,weight/atpbind3d_esm-t33_1.pt,1,2024-09-29 01:47:40
esm-t33-pretrained,1,0.4924,0.6801,0.8305,0.3451,0.9252,0.7507,-3.8,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,2,2024-09-29 01:47:47
esm-t33-pretrained,1,0.5992,0.5968,0.661,0.5909,0.9021,0.7668,-2.6,0.0003,0.003,3,30,empty,3,2024-09-29 01:47:52
esm-t33-pretrained,1,0.6452,0.6802,0.661,0.6724,0.9359,0.736,-3.4,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1.pt,4,2024-09-29 01:48:00
esm-t33-pretrained,1,0.6452,0.6729,0.661,0.6724,0.9096,0.7309,-4.4,0.0003,0.003,4,30,weight/atpbind3d_esm-t33_1.pt,5,2024-09-29 01:48:08
esm-t33-pretrained,1,0.5267,0.7334,0.9153,0.3506,0.945,0.7215,-4.6,0.0003,0.003,4,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,6,2024-09-29 01:48:16
esm-t33-pretrained,1,0.657,0.6509,0.678,0.678,0.8565,0.7516,-0.8,0.0003,0.003,4,30,empty,7,2024-09-29 01:48:23
esm-t33-pretrained,1,0.6092,0.6814,0.6441,0.623,0.9268,0.7479,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1.pt,8,2024-09-29 01:48:35
esm-t33-pretrained,1,0.5202,0.6458,0.6102,0.5,0.8933,0.7411,-3.4,0.0003,0.003,6,30,weight/atpbind3d_esm-t33_1.pt,9,2024-09-29 01:48:45
esm-t33-pretrained,1,0.6343,0.7372,0.7119,0.6087,0.956,0.753,-5.0,0.0003,0.003,6,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,10,2024-09-29 01:48:56
esm-t33-pretrained,1,0.54,0.5808,0.7288,0.4526,0.896,0.7764,-4.6,0.0003,0.003,6,30,empty,11,2024-09-29 01:49:05
esm-t33-pretrained,1,0.6508,0.7178,0.678,0.6667,0.9419,0.7212,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1.pt,12,2024-09-29 01:49:20
esm-t33-pretrained,1,0.6212,0.6377,0.6271,0.6607,0.9182,0.7309,-5.0,0.0003,0.003,10,30,weight/atpbind3d_esm-t33_1.pt,13,2024-09-29 01:49:35
esm-t33-pretrained,1,0.6227,0.7224,0.6949,0.6029,0.9551,0.7411,-5.0,0.0003,0.003,10,30,weight/atpbind3d-1930_esm-t33_1_rmmlp.pt,14,2024-09-29 01:49:49
esm-t33-pretrained,1,0.5805,0.5548,0.6271,0.5873,0.8991,0.7309,-5.0,0.0003,0.003,10,30,empty,15,2024-09-29 01:50:03
esm-t33-pretrained,2,0.5627,0.6542,0.4746,0.7179,0.9341,0.7033,0.6,0.0003,0.003,3,30,weight/atpbind3d-1930_esm-t33_1.pt,0,2024-09-29 01:50:09
