model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,finished_at
esm-t33-gearnet-adaboost-r10,0,0.5604,0.6092,0.4915,0.6905,0.9099,0.8724,-0.4,2024-06-16 18:20:26
esm-t33-gearnet-adaboost-r10,1,0.4713,0.5813,0.339,0.7143,0.8857,0.7532,-0.4,2024-06-16 18:25:46
esm-t33-gearnet-adaboost-r10,2,0.6521,0.7208,0.4746,0.9333,0.9467,0.762,0.6,2024-06-16 18:31:03
esm-t33-gearnet-adaboost-r10,3,0.5574,0.6015,0.3729,0.88,0.8871,0.9604,-0.2,2024-06-16 18:36:21
esm-t33-gearnet-adaboost-r10,4,0.5289,0.5217,0.4237,0.7143,0.8918,0.7518,-0.3,2024-06-16 18:41:40
esm-t33-gearnet-resiboost-r10,0,0.624,0.6876,0.5424,0.7619,0.9434,0.8908,0.8,2024-06-16 18:46:48
esm-t33-gearnet-resiboost-r10,1,0.5366,0.6795,0.7288,0.4479,0.8864,0.7632,-0.9,2024-06-16 18:52:09
esm-t33-gearnet-resiboost-r10,2,0.653,0.7283,0.6441,0.7037,0.9284,0.7384,0.9,2024-06-16 18:57:23
esm-t33-gearnet-resiboost-r10,3,0.6155,0.6863,0.661,0.619,0.9347,0.9421,-0.1,2024-06-16 19:02:46
esm-t33-gearnet-resiboost-r10,4,0.5982,0.5885,0.5593,0.6875,0.9029,0.7565,0.6,2024-06-16 19:08:05
esm-t33-gearnet-pretrained-adaboost-r10,0,0.5744,0.6356,0.4068,0.8571,0.9033,0.8991,0.0,2024-06-16 19:13:31
esm-t33-gearnet-pretrained-adaboost-r10,1,0.6616,0.6657,0.5932,0.7778,0.8723,0.7502,-0.7,2024-06-16 19:19:01
esm-t33-gearnet-pretrained-adaboost-r10,2,0.6291,0.6612,0.4746,0.875,0.9068,0.7901,0.1,2024-06-16 19:24:23
esm-t33-gearnet-pretrained-adaboost-r10,3,0.624,0.6585,0.5424,0.7619,0.9182,0.9512,-0.5,2024-06-16 19:29:53
esm-t33-gearnet-pretrained-adaboost-r10,4,0.4398,0.6548,0.2034,1.0,0.904,0.7902,0.4,2024-06-16 19:35:21
esm-t33-gearnet-pretrained-resiboost-r10,0,0.622,0.7217,0.6102,0.6792,0.947,0.8783,0.6,2024-06-16 19:40:47
esm-t33-gearnet-pretrained-resiboost-r10,1,0.6397,0.7083,0.6441,0.6786,0.9132,0.7549,0.0,2024-06-16 19:46:17
esm-t33-gearnet-pretrained-resiboost-r10,2,0.6288,0.7452,0.6102,0.6923,0.936,0.7604,0.7,2024-06-16 19:51:43
esm-t33-gearnet-pretrained-resiboost-r10,3,0.6429,0.7066,0.6102,0.72,0.9451,0.9406,0.5,2024-06-16 19:57:22
