model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,valid_mcc,best_threshold,finished_at
esm-t33,0,0.7161,0.777,0.6,0.8936,0.9129,-1.4,2024-06-09 23:23:53
esm-t33,1,0.6975,0.7687,0.5857,0.8723,0.9081,-1.2,2024-06-09 23:24:11
esm-t33,2,0.6914,0.764,0.6,0.84,0.888,-1.3,2024-06-09 23:24:29
esm-t33,3,0.7048,0.7607,0.5714,0.9091,0.5573,-3.0,2024-06-09 23:24:46
esm-t33,4,0.7148,0.8242,0.5857,0.9111,0.5417,0.5,2024-06-09 23:25:04
esm-t33-pretrained,0,0.7723,0.8374,0.6571,0.9388,0.918,-2.8,2024-06-09 23:25:23
esm-t33-pretrained,1,0.7161,0.7826,0.6,0.8936,0.8988,-0.3,2024-06-09 23:25:42
esm-t33-pretrained,2,0.6632,0.7425,0.5143,0.9,0.8242,-1.7,2024-06-09 23:26:00
esm-t33-pretrained,3,0.6621,0.7615,0.5,0.9211,0.5025,-3.0,2024-06-09 23:26:19
esm-t33-pretrained,4,0.7647,0.797,0.6714,0.9038,0.496,-2.3,2024-06-09 23:26:38
esm-t33-gearnet,0,0.6146,0.7598,0.6429,0.6429,0.9065,-2.7,2024-06-09 23:27:03
esm-t33-gearnet,1,0.7148,0.7512,0.5857,0.9111,0.9178,-0.2,2024-06-09 23:27:30
esm-t33-gearnet,2,0.6632,0.6687,0.5143,0.9,0.9056,-1.5,2024-06-09 23:27:57
esm-t33-gearnet,3,0.6621,0.7621,0.5,0.9211,0.5815,0.5,2024-06-09 23:28:23
esm-t33-gearnet,4,0.6946,0.7659,0.5571,0.907,0.5848,-0.4,2024-06-09 23:28:50
esm-t33-gearnet-pretrained,0,0.7076,0.765,0.6,0.875,0.9047,-0.5,2024-06-09 23:29:17
esm-t33-gearnet-pretrained,1,0.6685,0.6475,0.5571,0.8478,0.949,-2.5,2024-06-09 23:29:45
esm-t33-gearnet-pretrained,2,0.6473,0.7136,0.5286,0.8409,0.93,-2.8,2024-06-09 23:30:12
esm-t33-gearnet-pretrained,3,0.747,0.7524,0.6571,0.8846,0.5806,-3.0,2024-06-09 23:30:40
esm-t33-gearnet-pretrained,4,0.7139,0.7787,0.5714,0.9302,0.5504,0.5,2024-06-09 23:31:07
esm-t33-gearnet-pretrained-ensemble,0,0.7039,0.7623,0.6286,0.8302,0.9002,-1.1,2024-06-10 01:11:52
esm-t33-gearnet-pretrained-ensemble,1,0.6769,0.6706,0.5571,0.8667,0.9393,-3.0,2024-06-10 01:16:43
esm-t33-gearnet-pretrained-ensemble,2,0.6119,0.6932,0.4714,0.8462,0.918,-1.8,2024-06-10 01:21:33
esm-t33-gearnet-pretrained-ensemble,3,0.7176,0.7306,0.6143,0.8776,0.5878,-3.0,2024-06-10 01:26:23
esm-t33-gearnet-pretrained-ensemble,4,0.6946,0.763,0.5571,0.907,0.555,0.0,2024-06-10 01:31:15
esm-t33-gearnet-pretrained-adaboost-r10,0,0.7038,0.7232,0.5571,0.9286,0.9085,0.0,2024-06-10 16:27:15
esm-t33-gearnet-pretrained-adaboost-r10,1,0.5905,0.6222,0.5571,0.6842,0.9314,-1.1,2024-06-10 16:32:13
esm-t33-gearnet-pretrained-adaboost-r10,2,0.621,0.6806,0.4714,0.8684,0.9084,-0.3,2024-06-10 16:37:08
esm-t33-gearnet-pretrained-adaboost-r10,3,0.7755,0.7445,0.7,0.8909,0.5655,-0.9,2024-06-10 16:42:06
esm-t33-gearnet-pretrained-adaboost-r10,4,0.6752,0.7834,0.5429,0.8837,0.5814,0.1,2024-06-10 16:47:03
esm-t33-gearnet-pretrained-resiboost-r10,0,0.7373,0.7737,0.6429,0.8824,0.9065,0.8,2024-06-10 16:51:55
esm-t33-gearnet-pretrained-resiboost-r10,1,0.7552,0.7222,0.6571,0.902,0.9405,0.0,2024-06-10 16:56:52
esm-t33-gearnet-pretrained-resiboost-r10,2,0.7444,0.7379,0.6286,0.9167,0.9316,0.7,2024-06-10 17:01:47
esm-t33-gearnet-pretrained-resiboost-r10,3,0.741,0.742,0.6714,0.8545,0.6108,-0.2,2024-06-10 17:06:39
esm-t33-gearnet-pretrained-resiboost-r10,4,0.754,0.8005,0.6429,0.9184,0.5519,0.9,2024-06-10 17:11:37xee
esm-t33-gearnet-adaboost-r10,0,0.6832,0.7504,0.5286,0.925,0.8568,0.3,2024-06-10 22:53:26
esm-t33-gearnet-adaboost-r10,1,0.7148,0.7189,0.5857,0.9111,0.9405,-0.2,2024-06-10 22:58:17
esm-t33-gearnet-adaboost-r10,2,0.6514,0.7309,0.4857,0.9189,0.9394,0.1,2024-06-10 23:03:08
esm-t33-gearnet-adaboost-r10,3,0.6181,0.7093,0.4429,0.9118,0.5996,0.6,2024-06-10 23:07:55
esm-t33-gearnet-adaboost-r10,4,0.6994,0.7972,0.6,0.8571,0.5814,-0.4,2024-06-10 23:12:45
esm-t33-gearnet-resiboost-r10,0,0.7358,0.7458,0.6286,0.898,0.9195,0.8,2024-06-10 23:17:30
esm-t33-gearnet-resiboost-r10,1,0.6923,0.6855,0.6714,0.7581,0.9405,-0.4,2024-06-10 23:22:21
esm-t33-gearnet-resiboost-r10,2,0.7444,0.7458,0.6286,0.9167,0.9056,0.8,2024-06-10 23:27:13
esm-t33-gearnet-resiboost-r10,3,0.7313,0.7583,0.6571,0.8519,0.5817,-0.2,2024-06-10 23:32:02
esm-t33-gearnet-resiboost-r10,4,0.7566,0.824,0.6714,0.8868,0.5387,0.7,2024-06-10 23:36:51
