model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,ensemble_count,last_single_run_mcc,last_single_run_auprc,finished_at
esm-t33-gearnet-pretrained-resiboost,0,0.6309,0.5862,0.4286,0.9677,0.8203,0.7496,0.0,0.5,False,1,0.6309,0.5862,2024-09-30 23:24:28
esm-t33-gearnet-pretrained-resiboost,0,0.5476,0.5966,0.3286,0.9583,0.8367,0.7715,0.6,0.5,False,2,0.3071,0.324,2024-09-30 23:24:51
esm-t33-gearnet-pretrained-resiboost,0,0.5725,0.5836,0.3571,0.9615,0.816,0.765,0.6,0.5,False,3,0.2486,0.3013,2024-09-30 23:25:14
esm-t33-gearnet-pretrained-resiboost,0,0.5602,0.5916,0.3429,0.96,0.8318,0.765,0.9,0.5,False,4,0.4191,0.4253,2024-09-30 23:25:38
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.5923,0.3714,0.963,0.8372,0.7679,0.9,0.5,False,5,0.4516,0.4956,2024-09-30 23:26:01
esm-t33-gearnet-pretrained-resiboost,0,0.6312,0.5685,0.4429,0.9394,0.7932,0.7438,0.2,0.5,True,1,0.6312,0.5685,2024-09-30 23:26:25
esm-t33-gearnet-pretrained-resiboost,0,0.585,0.5671,0.3857,0.931,0.8021,0.7648,0.8,0.5,True,2,0.2847,0.3807,2024-09-30 23:26:48
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.573,0.3714,0.963,0.7984,0.765,0.9,0.5,True,3,0.2659,0.2437,2024-09-30 23:27:12
esm-t33-gearnet-pretrained-resiboost,0,0.5978,0.5745,0.4143,0.9062,0.8014,0.7714,-0.3,0.5,True,4,0.0,0.08,2024-09-30 23:27:35
esm-t33-gearnet-pretrained-resiboost,0,0.5602,0.5712,0.3429,0.96,0.8071,0.7679,0.5,0.5,True,5,0.3551,0.3845,2024-09-30 23:27:58
esm-t33-gearnet-pretrained-resiboost,0,0.585,0.5656,0.3857,0.931,0.7901,0.7586,0.6,0.5,False,1,0.585,0.5656,2024-10-01 12:21:05
esm-t33-gearnet-pretrained-resiboost,0,0.5729,0.5707,0.3714,0.9286,0.8092,0.774,0.2,0.5,False,2,0.3483,0.3466,2024-10-01 12:21:27
esm-t33-gearnet-pretrained-resiboost,0,0.5965,0.5636,0.3857,0.9643,0.7911,0.7531,0.8,0.5,False,3,0.2236,0.2471,2024-10-01 12:21:49
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.5775,0.3714,0.963,0.801,0.7531,0.9,0.5,False,4,0.407,0.4208,2024-10-01 12:22:11
esm-t33-gearnet-pretrained-resiboost,0,0.5978,0.5871,0.4143,0.9062,0.8194,0.7531,0.9,0.5,False,5,0.5088,0.5213,2024-10-01 12:22:33
esm-t33-gearnet-pretrained-resiboost,0,0.586,0.587,0.4,0.9032,0.8245,0.7496,0.9,0.5,False,6,0.3672,0.4756,2024-10-01 12:22:55
esm-t33-gearnet-pretrained-resiboost,0,0.5085,0.5868,0.5143,0.5625,0.8242,0.7509,-2.0,0.5,False,7,0.4662,0.5454,2024-10-01 12:23:17
esm-t33-gearnet-pretrained-resiboost,0,0.5978,0.5843,0.4143,0.9062,0.8229,0.7556,0.9,0.5,False,8,0.5082,0.534,2024-10-01 12:23:39
esm-t33-gearnet-pretrained-resiboost,0,0.5038,0.5842,0.5143,0.5538,0.8224,0.755,-2.0,0.5,False,9,0.574,0.5571,2024-10-01 12:24:01
esm-t33-gearnet-pretrained-resiboost,0,0.5978,0.5894,0.4143,0.9062,0.8288,0.7496,0.9,0.5,False,10,0.5354,0.6291,2024-10-01 12:24:24
esm-t33-gearnet-pretrained-resiboost,0,0.642,0.5907,0.4429,0.9688,0.8299,0.7589,-0.6,0.5,True,1,0.642,0.5907,2024-10-01 12:24:46
esm-t33-gearnet-pretrained-resiboost,0,0.5082,0.5856,0.2857,0.9524,0.8321,0.7679,0.2,0.5,True,2,0.1182,0.1535,2024-10-01 12:25:08
esm-t33-gearnet-pretrained-resiboost,0,0.5965,0.5822,0.3857,0.9643,0.8207,0.7623,0.0,0.5,True,3,0.2115,0.2393,2024-10-01 12:25:30
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.5807,0.3714,0.963,0.8324,0.7566,-0.1,0.5,True,4,0.1132,0.074,2024-10-01 12:25:52
esm-t33-gearnet-pretrained-resiboost,0,0.5216,0.5904,0.3,0.9545,0.8442,0.7586,0.7,0.5,True,5,0.4191,0.4216,2024-10-01 12:26:14
esm-t33-gearnet-pretrained-resiboost,0,0.5476,0.6034,0.3286,0.9583,0.8574,0.765,0.8,0.5,True,6,0.6312,0.5969,2024-10-01 12:26:36
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.6009,0.3714,0.963,0.8558,0.7679,0.7,0.5,True,7,0.5606,0.5229,2024-10-01 12:26:58
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.6012,0.3714,0.963,0.8537,0.7617,0.7,0.5,True,8,0.4357,0.5357,2024-10-01 12:27:20
esm-t33-gearnet-pretrained-resiboost,0,0.5725,0.6007,0.3571,0.9615,0.856,0.7679,0.8,0.5,True,9,0.4967,0.5491,2024-10-01 12:27:42
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.6012,0.3714,0.963,0.8551,0.7617,0.7,0.5,True,10,0.4516,0.5137,2024-10-01 12:28:03
esm-t33-gearnet-pretrained-resiboost,0,0.6012,0.5561,0.4429,0.8611,0.7515,0.7232,-2.9,0.1,False,1,0.5897,0.5561,2024-10-02 03:11:43
