model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-pretrained-resiboost,0,0.5756,0.5811,0.4,0.875,0.824,0.7297,0.9,0.5,False,0,2024-10-02 13:32:37
esm-t33-gearnet-pretrained-resiboost,0,0.5846,0.5763,0.3714,0.963,0.8001,0.7586,0.8,0.5,True,1,2024-10-02 13:36:17
esm-t33-gearnet-pretrained-resiboost,1,0.4944,0.5912,0.5571,0.5,0.8019,0.6747,-2.5,0.5,False,0,2024-10-02 13:40:02
esm-t33-gearnet-pretrained-resiboost,1,0.4832,0.5865,0.5571,0.4815,0.7942,0.6706,-2.7,0.5,True,1,2024-10-02 13:43:47
esm-t33-gearnet-pretrained-resiboost,2,0.6149,0.6224,0.4714,0.8462,0.856,0.9267,-0.2,0.5,False,0,2024-10-02 13:47:32
esm-t33-gearnet-pretrained-resiboost,2,0.6208,0.5965,0.4429,0.9118,0.8293,0.9267,-0.3,0.5,True,1,2024-10-02 13:51:18
esm-t33-gearnet-pretrained-resiboost,3,0.6045,0.6057,0.5,0.7778,0.8389,0.9352,-1.2,0.5,False,0,2024-10-02 13:55:03
esm-t33-gearnet-pretrained-resiboost,3,0.5993,0.5896,0.4286,0.8824,0.8219,0.9388,0.4,0.5,True,1,2024-10-02 13:58:48
esm-t33-gearnet-pretrained-resiboost,4,0.6091,0.6065,0.4857,0.8095,0.8504,0.6142,-0.4,0.5,False,0,2024-10-02 14:02:33
esm-t33-gearnet-pretrained-resiboost,4,0.6035,0.5963,0.4571,0.8421,0.8321,0.5971,-0.5,0.5,True,1,2024-10-02 14:06:19
esm-t33-gearnet-pretrained-resiboost,0,0.5968,0.5734,0.4,0.9333,0.788,0.7297,0.9,0.9,False,0,2024-10-02 17:30:01
esm-t33-gearnet-pretrained-resiboost,0,0.6082,0.5707,0.4,0.9655,0.7811,0.7352,0.8,0.9,True,1,2024-10-02 17:34:30
esm-t33-gearnet-pretrained-resiboost,1,0.5367,0.5857,0.5571,0.5735,0.8019,0.6711,-3.0,0.9,False,0,2024-10-02 17:38:16
esm-t33-gearnet-pretrained-resiboost,1,0.5367,0.5836,0.5571,0.5735,0.8024,0.6711,-3.0,0.9,True,1,2024-10-02 17:42:04
esm-t33-gearnet-pretrained-resiboost,2,0.5978,0.605,0.4714,0.8049,0.8416,0.9355,-1.0,0.9,False,0,2024-10-02 17:45:49
esm-t33-gearnet-pretrained-resiboost,2,0.5978,0.6023,0.4714,0.8049,0.8418,0.9355,-0.8,0.9,True,1,2024-10-02 17:49:43
esm-t33-gearnet-pretrained-resiboost,3,0.6208,0.5823,0.4429,0.9118,0.8165,0.9388,0.9,0.9,False,0,2024-10-02 17:53:29
esm-t33-gearnet-pretrained-resiboost,3,0.597,0.5819,0.5,0.7609,0.8088,0.9352,-1.9,0.9,True,1,2024-10-02 17:57:13
esm-t33-gearnet-pretrained-resiboost,4,0.6313,0.6103,0.5143,0.8182,0.8488,0.539,-1.1,0.9,False,0,2024-10-02 18:00:59
esm-t33-gearnet-pretrained-resiboost,4,0.6313,0.5986,0.5143,0.8182,0.8396,0.581,-1.0,0.9,True,1,2024-10-02 18:04:50
esm-t33-gearnet-pretrained-resiboost,0,0.6314,0.5746,0.4143,1.0,0.7802,0.7352,0.8,0.9,False,0,2024-10-04 01:54:11
esm-t33-gearnet-pretrained-resiboost,0,0.6202,0.5718,0.4,1.0,0.7811,0.7467,0.9,0.9,True,1,2024-10-04 01:57:49
esm-t33-gearnet-pretrained-resiboost,1,0.4944,0.5872,0.5571,0.5,0.8011,0.6669,-3.0,0.9,False,0,2024-10-04 02:01:33
esm-t33-gearnet-pretrained-resiboost,1,0.5292,0.5797,0.5286,0.5873,0.7945,0.6627,-3.0,0.9,True,1,2024-10-04 02:05:18
esm-t33-gearnet-pretrained-resiboost,2,0.6091,0.6033,0.4857,0.8095,0.8443,0.9355,-0.8,0.9,False,0,2024-10-04 02:09:03
esm-t33-gearnet-pretrained-resiboost,2,0.5863,0.5997,0.4571,0.8,0.8429,0.9355,-0.8,0.9,True,1,2024-10-04 02:12:48
esm-t33-gearnet-pretrained-resiboost,3,0.6208,0.5833,0.4429,0.9118,0.814,0.9388,0.7,0.9,False,0,2024-10-04 02:16:36
esm-t33-gearnet-pretrained-resiboost,3,0.601,0.5696,0.5143,0.75,0.7908,0.9352,-2.2,0.9,True,1,2024-10-04 02:20:22
esm-t33-gearnet-pretrained-resiboost,4,0.6313,0.605,0.5143,0.8182,0.8473,0.581,-0.6,0.9,False,0,2024-10-04 02:24:07
esm-t33-gearnet-pretrained-resiboost,4,0.6443,0.6121,0.4857,0.8947,0.856,0.6233,-0.6,0.9,True,1,2024-10-04 02:27:51
