model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.lm_freeze_layer_count,pretrained_weight_path
esm-t33-gearnet-pretrained,0,0.4025,0.4878,0.1857,0.9286,0.7521,0.7689,2.8,0,2024-09-24 09:45:30,,,,,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,1,0.4903,0.5425,0.5143,0.5294,0.8025,0.7172,-2.8,0,2024-09-24 09:45:51,,,,,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,2,0.4205,0.4833,0.2143,0.8824,0.7892,0.846,1.8,0,2024-09-24 09:46:12,,,,,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,3,0.522,0.5436,0.4,0.7368,0.8005,0.831,-0.8,0,2024-09-24 09:46:33,,,,,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,4,0.5101,0.5536,0.4714,0.6111,0.7895,0.6536,-3.2,0,2024-09-24 09:46:55,,,,,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4131,0.3713,0.4429,0.4559,0.8342,0.6821,-1.2,0,2024-09-24 09:55:17,3e-05,0.0003,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3935,0.4344,0.3143,0.5641,0.8447,0.6687,0.0,1,2024-09-24 09:55:30,3e-05,0.0003,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3882,0.4261,0.4429,0.4133,0.8302,0.6533,-1.2,2,2024-09-24 09:55:44,3e-05,0.0003,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.38,0.3743,0.4286,0.411,0.799,0.6481,-1.0,3,2024-09-24 09:55:57,3e-05,0.0003,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3443,0.3465,0.2714,0.5135,0.8147,0.7001,0.4,4,2024-09-24 09:56:18,3e-05,0.0003,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3668,0.3562,0.4,0.4118,0.8022,0.6865,-1.0,5,2024-09-24 09:56:39,3e-05,0.0003,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3387,0.388,0.2714,0.5,0.7965,0.685,0.4,6,2024-09-24 09:57:00,3e-05,0.0003,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4074,0.4244,0.3286,0.575,0.7977,0.6807,0.4,7,2024-09-24 09:57:20,3e-05,0.0003,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4462,0.4003,0.4143,0.5472,0.8115,0.768,-1.2,8,2024-09-24 09:57:34,3e-05,0.001,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4288,0.4104,0.4,0.5283,0.8148,0.7283,-0.8,9,2024-09-24 09:57:48,3e-05,0.001,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4209,0.4446,0.4429,0.4697,0.8121,0.7016,-1.4,10,2024-09-24 09:58:01,3e-05,0.001,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4794,0.4765,0.4,0.6364,0.797,0.7099,-0.8,11,2024-09-24 09:58:15,3e-05,0.001,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4273,0.4492,0.3143,0.6471,0.8126,0.7363,0.2,12,2024-09-24 09:58:35,3e-05,0.001,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4674,0.4239,0.4571,0.5424,0.8057,0.7197,-2.6,13,2024-09-24 09:58:55,3e-05,0.001,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4414,0.4705,0.3714,0.5909,0.7866,0.7111,-0.8,14,2024-09-24 09:59:15,3e-05,0.001,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4514,0.4743,0.4857,0.4857,0.8028,0.6905,-2.2,15,2024-09-24 09:59:34,3e-05,0.001,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4826,0.4903,0.3286,0.7667,0.7755,0.7214,-0.4,16,2024-09-24 09:59:48,3e-05,0.003,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.5097,0.5014,0.4571,0.6275,0.7887,0.7197,-1.8,17,2024-09-24 10:00:02,3e-05,0.003,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4791,0.4992,0.4714,0.55,0.7871,0.7374,-2.0,18,2024-09-24 10:00:15,3e-05,0.003,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.5435,0.5159,0.4429,0.7209,0.7934,0.7471,-1.4,19,2024-09-24 10:00:28,3e-05,0.003,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3887,0.4999,0.2286,0.7273,0.8048,0.7403,0.2,20,2024-09-24 10:00:48,3e-05,0.003,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4888,0.4833,0.3714,0.7027,0.7877,0.7246,-0.6,21,2024-09-24 10:01:07,3e-05,0.003,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4497,0.4274,0.4,0.5714,0.7952,0.7297,-1.0,22,2024-09-24 10:01:26,3e-05,0.003,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.5175,0.4993,0.3857,0.75,0.8024,0.7493,0.0,23,2024-09-24 10:01:45,3e-05,0.003,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4405,0.353,0.5143,0.4444,0.8207,0.7045,-1.8,24,2024-09-24 10:01:58,0.0001,0.0003,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4392,0.3824,0.5429,0.4222,0.8317,0.6934,-1.6,25,2024-09-24 10:02:12,0.0001,0.0003,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3733,0.4272,0.5286,0.3364,0.8324,0.6733,-1.8,26,2024-09-24 10:02:25,0.0001,0.0003,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3874,0.4017,0.3429,0.5106,0.8088,0.6639,-0.4,27,2024-09-24 10:02:37,0.0001,0.0003,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3509,0.3222,0.3429,0.4364,0.805,0.7246,-1.6,28,2024-09-24 10:02:57,0.0001,0.0003,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3654,0.3464,0.3143,0.5,0.8167,0.6963,0.4,29,2024-09-24 10:03:17,0.0001,0.0003,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3752,0.379,0.4143,0.4143,0.8068,0.6866,-0.8,30,2024-09-24 10:03:36,0.0001,0.0003,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4112,0.4012,0.3571,0.5435,0.7929,0.6775,0.0,31,2024-09-24 10:03:55,0.0001,0.0003,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4926,0.4153,0.5,0.5469,0.8031,0.7468,-1.8,32,2024-09-24 10:04:08,0.0001,0.001,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.437,0.3878,0.3857,0.5625,0.8139,0.7144,-0.6,33,2024-09-24 10:04:21,0.0001,0.001,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4418,0.4468,0.4429,0.5082,0.813,0.7099,-1.2,34,2024-09-24 10:04:35,0.0001,0.001,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4864,0.4805,0.4429,0.5962,0.7996,0.7099,-1.0,35,2024-09-24 10:04:48,0.0001,0.001,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4627,0.3995,0.4571,0.5333,0.7974,0.7592,-3.2,36,2024-09-24 10:05:08,0.0001,0.001,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4418,0.3821,0.4429,0.5082,0.8161,0.7144,-2.4,37,2024-09-24 10:05:28,0.0001,0.001,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.413,0.4419,0.3,0.6364,0.7981,0.7274,1.0,38,2024-09-24 10:05:47,0.0001,0.001,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4581,0.4623,0.4571,0.5246,0.8069,0.7327,-2.2,39,2024-09-24 10:06:06,0.0001,0.001,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4835,0.5269,0.5,0.5303,0.7803,0.7374,-2.8,40,2024-09-24 10:06:19,0.0001,0.003,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4928,0.4813,0.4571,0.5926,0.7927,0.7055,-2.2,41,2024-09-24 10:06:32,0.0001,0.003,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.5005,0.4953,0.4857,0.5763,0.7901,0.7331,-1.8,42,2024-09-24 10:06:45,0.0001,0.003,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.5628,0.5152,0.4286,0.7895,0.7902,0.748,-1.0,43,2024-09-24 10:06:58,0.0001,0.003,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4548,0.4767,0.3,0.75,0.7818,0.7648,0.0,44,2024-09-24 10:07:18,0.0001,0.003,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.3621,0.4386,0.2143,0.6818,0.777,0.7345,1.8,45,2024-09-24 10:07:37,0.0001,0.003,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4412,0.4121,0.4143,0.537,0.8016,0.7099,-1.6,46,2024-09-24 10:07:56,0.0001,0.003,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.5101,0.4917,0.4714,0.6111,0.8005,0.7422,-2.0,47,2024-09-24 10:08:15,0.0001,0.003,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4317,0.3758,0.5286,0.4205,0.7874,0.7348,-3.0,48,2024-09-24 10:08:29,0.0003,0.0003,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4483,0.3928,0.3857,0.587,0.8071,0.6966,0.0,49,2024-09-24 10:08:42,0.0003,0.0003,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4556,0.4135,0.4429,0.5345,0.821,0.6961,-0.6,50,2024-09-24 10:08:55,0.0003,0.0003,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4481,0.4123,0.4714,0.4925,0.8099,0.7055,-0.8,51,2024-09-24 10:09:08,0.0003,0.0003,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4533,0.3438,0.4286,0.5455,0.7869,0.7374,-2.0,52,2024-09-24 10:09:28,0.0003,0.0003,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.412,0.3573,0.4857,0.4198,0.8049,0.7059,-2.6,53,2024-09-24 10:09:48,0.0003,0.0003,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.413,0.4069,0.3143,0.6111,0.819,0.7336,1.0,54,2024-09-24 10:10:07,0.0003,0.0003,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4677,0.4406,0.4143,0.5918,0.806,0.7339,-0.8,55,2024-09-24 10:10:26,0.0003,0.0003,10.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4813,0.4395,0.3714,0.6842,0.7725,0.7297,0.0,56,2024-09-24 10:10:40,0.0003,0.001,6.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4484,0.4344,0.4286,0.5357,0.7991,0.7102,-1.6,57,2024-09-24 10:10:53,0.0003,0.001,6.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4918,0.4586,0.4143,0.6444,0.8136,0.7246,-0.4,58,2024-09-24 10:11:06,0.0003,0.001,6.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4926,0.4886,0.4,0.6667,0.8071,0.7283,-0.8,59,2024-09-24 10:11:20,0.0003,0.001,6.0,33.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4405,0.382,0.3429,0.6316,0.7712,0.7402,-0.2,60,2024-09-24 10:11:40,0.0003,0.001,10.0,30.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4296,0.3812,0.5,0.4375,0.8143,0.7235,-3.0,61,2024-09-24 10:11:59,0.0003,0.001,10.0,31.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
esm-t33-gearnet-pretrained,0,0.4533,0.3861,0.4286,0.5455,0.8096,0.7339,-0.8,62,2024-09-24 10:12:18,0.0003,0.001,10.0,32.0,weight/atpbind3d-1930_esm-t33-gearnet_4.pt
