model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-resiboost,0,0.5968,0.5839,0.4,0.9333,0.8158,0.7371,0.9,0.5,False,0,2024-10-02 12:55:20
esm-t33-gearnet-resiboost,0,0.5846,0.5731,0.3714,0.963,0.8074,0.7431,0.7,0.5,True,1,2024-10-02 12:58:57
esm-t33-gearnet-resiboost,1,0.5276,0.5622,0.5,0.614,0.771,0.6669,-2.1,0.5,False,0,2024-10-02 13:02:42
esm-t33-gearnet-resiboost,1,0.4057,0.5801,0.5714,0.3571,0.8067,0.6626,-2.8,0.5,True,1,2024-10-02 13:06:26
esm-t33-gearnet-resiboost,2,0.6174,0.6112,0.4857,0.8293,0.8562,0.9355,-0.6,0.5,False,0,2024-10-02 13:10:10
esm-t33-gearnet-resiboost,2,0.5948,0.6129,0.4571,0.8205,0.8454,0.9281,-1.0,0.5,True,1,2024-10-02 13:13:54
esm-t33-gearnet-resiboost,3,0.6094,0.5908,0.4286,0.9091,0.8083,0.9388,0.8,0.5,False,0,2024-10-02 13:17:38
esm-t33-gearnet-resiboost,3,0.6199,0.6032,0.4286,0.9375,0.8339,0.9212,0.6,0.5,True,1,2024-10-02 13:21:27
esm-t33-gearnet-resiboost,4,0.6035,0.6108,0.4571,0.8421,0.834,0.6327,0.0,0.5,False,0,2024-10-02 13:25:11
esm-t33-gearnet-resiboost,4,0.6062,0.5987,0.4714,0.825,0.8363,0.6054,-0.7,0.5,True,1,2024-10-02 13:28:57
esm-t33-gearnet-resiboost,0,0.6082,0.5848,0.4,0.9655,0.7995,0.7297,0.6,0.9,False,0,2024-10-02 16:49:33
esm-t33-gearnet-resiboost,0,0.5846,0.5691,0.3714,0.963,0.7983,0.7352,0.5,0.9,True,1,2024-10-02 16:53:11
esm-t33-gearnet-resiboost,1,0.5292,0.5747,0.5286,0.5873,0.7948,0.6345,-3.0,0.9,False,0,2024-10-02 16:56:51
esm-t33-gearnet-resiboost,1,0.4624,0.5878,0.5571,0.4483,0.8198,0.651,-3.0,0.9,True,1,2024-10-02 17:00:36
esm-t33-gearnet-resiboost,2,0.6011,0.6002,0.4857,0.7907,0.8317,0.9355,-1.4,0.9,False,0,2024-10-02 17:04:23
esm-t33-gearnet-resiboost,2,0.5948,0.5988,0.4571,0.8205,0.8249,0.9355,-0.9,0.9,True,1,2024-10-02 17:08:08
esm-t33-gearnet-resiboost,3,0.6094,0.572,0.4286,0.9091,0.791,0.9478,0.4,0.9,False,0,2024-10-02 17:11:54
esm-t33-gearnet-resiboost,3,0.6085,0.5861,0.4143,0.9355,0.8109,0.9388,0.6,0.9,True,1,2024-10-02 17:15:46
esm-t33-gearnet-resiboost,4,0.5746,0.6089,0.4429,0.7949,0.845,0.5889,-0.6,0.9,False,0,2024-10-02 17:20:28
esm-t33-gearnet-resiboost,4,0.6062,0.6088,0.4714,0.825,0.8427,0.6157,-0.8,0.9,True,1,2024-10-02 17:25:11
esm-t33-gearnet-resiboost,0,0.5968,0.5697,0.4,0.9333,0.7976,0.7431,0.8,0.9,False,0,2024-10-04 01:17:09
esm-t33-gearnet-resiboost,0,0.5729,0.5775,0.3714,0.9286,0.8105,0.7467,0.6,0.9,True,1,2024-10-04 01:20:46
esm-t33-gearnet-resiboost,1,0.4436,0.5854,0.5571,0.4194,0.8274,0.6627,-3.0,0.9,False,0,2024-10-04 01:24:26
esm-t33-gearnet-resiboost,1,0.5145,0.5913,0.5571,0.5342,0.815,0.6669,-3.0,0.9,True,1,2024-10-04 01:28:10
esm-t33-gearnet-resiboost,2,0.6091,0.605,0.4857,0.8095,0.8324,0.9355,-1.1,0.9,False,0,2024-10-04 01:31:55
esm-t33-gearnet-resiboost,2,0.6108,0.6082,0.4429,0.8857,0.8505,0.9342,0.1,0.9,True,1,2024-10-04 01:35:38
esm-t33-gearnet-resiboost,3,0.5645,0.5901,0.4857,0.7083,0.8332,0.9352,-1.8,0.9,False,0,2024-10-04 01:39:21
esm-t33-gearnet-resiboost,3,0.5785,0.5908,0.4857,0.7391,0.8166,0.9352,-1.8,0.9,True,1,2024-10-04 01:43:04
esm-t33-gearnet-resiboost,4,0.5948,0.6057,0.4571,0.8205,0.8329,0.6233,-1.1,0.9,False,0,2024-10-04 01:46:48
esm-t33-gearnet-resiboost,4,0.5863,0.6135,0.4571,0.8,0.8475,0.6233,-1.0,0.9,True,1,2024-10-04 01:50:32
