model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,boost_negative_use_ratio,boost_mask_positive,hp_combination,finished_at
esm-t33-gearnet-resiboost,0,0.5635,0.5566,0.3857,0.871,0.8117,0.7309,0.5,0.2,False,0,2024-09-27 17:22:57
esm-t33-gearnet-resiboost,0,0.5354,0.5842,0.3,1.0,0.8259,0.7586,0.6,0.2,True,1,2024-09-27 17:26:40
esm-t33-gearnet-resiboost,0,0.585,0.5882,0.3857,0.931,0.8152,0.7586,0.6,0.5,False,2,2024-09-27 17:30:28
esm-t33-gearnet-resiboost,0,0.5968,0.58,0.4,0.9333,0.8087,0.7679,0.7,0.5,True,3,2024-09-27 17:34:11
esm-t33-gearnet-resiboost,0,0.5729,0.5862,0.3714,0.9286,0.8106,0.7463,0.9,0.9,False,4,2024-09-27 17:38:24
esm-t33-gearnet-resiboost,0,0.5968,0.5835,0.4,0.9333,0.8025,0.7679,0.7,0.9,True,5,2024-09-27 17:42:12
esm-t33-gearnet-resiboost,1,0.505,0.6203,0.5714,0.5063,0.8321,0.7029,-0.7,0.2,False,0,2024-09-27 17:46:16
esm-t33-gearnet-resiboost,1,0.4302,0.5634,0.5429,0.4086,0.7565,0.6858,-1.1,0.2,True,1,2024-09-27 17:50:06
esm-t33-gearnet-resiboost,1,0.4796,0.5966,0.5571,0.4756,0.8157,0.7132,-1.9,0.5,False,2,2024-09-27 17:53:52
esm-t33-gearnet-resiboost,1,0.4663,0.6005,0.5714,0.4444,0.8134,0.7132,-2.0,0.5,True,3,2024-09-27 17:58:08
esm-t33-gearnet-resiboost,1,0.4436,0.603,0.5571,0.4194,0.8296,0.705,-2.8,0.9,False,4,2024-09-27 18:02:02
esm-t33-gearnet-resiboost,1,0.4983,0.5985,0.5571,0.5065,0.8239,0.6958,-2.7,0.9,True,5,2024-09-27 18:05:53
esm-t33-gearnet-resiboost,2,0.5778,0.5674,0.4143,0.8529,0.8189,0.8583,0.9,0.2,False,0,2024-09-27 18:09:43
esm-t33-gearnet-resiboost,2,0.5511,0.5699,0.3714,0.8667,0.8157,0.8921,0.4,0.2,True,1,2024-09-27 18:13:47
esm-t33-gearnet-resiboost,2,0.585,0.576,0.3857,0.931,0.8106,0.8996,0.8,0.5,False,2,2024-09-27 18:17:34
esm-t33-gearnet-resiboost,2,0.5978,0.5824,0.4143,0.9062,0.8168,0.9032,0.0,0.5,True,3,2024-09-27 18:21:39
esm-t33-gearnet-resiboost,2,0.5978,0.5896,0.4143,0.9062,0.8196,0.8996,0.6,0.9,False,4,2024-09-27 18:25:30
esm-t33-gearnet-resiboost,2,0.6208,0.5927,0.4429,0.9118,0.8319,0.9017,0.0,0.9,True,5,2024-09-27 18:29:29
esm-t33-gearnet-resiboost,3,0.5858,0.5707,0.4857,0.7556,0.7995,0.9251,-0.5,0.2,False,0,2024-09-27 18:33:16
esm-t33-gearnet-resiboost,3,0.5897,0.5766,0.4714,0.7857,0.8118,0.9158,-1.0,0.2,True,1,2024-09-27 18:37:10
esm-t33-gearnet-resiboost,3,0.592,0.582,0.4429,0.8378,0.8085,0.9235,-1.1,0.5,False,2,2024-09-27 18:41:06
esm-t33-gearnet-resiboost,3,0.5782,0.5964,0.4571,0.7805,0.8269,0.9235,-1.4,0.5,True,3,2024-09-27 18:45:08
esm-t33-gearnet-resiboost,3,0.567,0.5775,0.4714,0.7333,0.8053,0.9327,-2.1,0.9,False,4,2024-09-27 18:48:53
esm-t33-gearnet-resiboost,3,0.5703,0.5808,0.4571,0.7619,0.8055,0.9251,-1.7,0.9,True,5,2024-09-27 18:52:57
esm-t33-gearnet-resiboost,4,0.5896,0.6028,0.4286,0.8571,0.8504,0.663,0.6,0.2,False,0,2024-09-27 18:56:46
esm-t33-gearnet-resiboost,4,0.5993,0.5926,0.4286,0.8824,0.8208,0.6691,0.2,0.2,True,1,2024-09-27 19:00:32
esm-t33-gearnet-resiboost,4,0.6309,0.5937,0.4286,0.9677,0.8193,0.6577,0.7,0.5,False,2,2024-09-27 19:04:23
esm-t33-gearnet-resiboost,4,0.5803,0.6024,0.4286,0.8333,0.837,0.6686,-0.1,0.5,True,3,2024-09-27 19:08:13
esm-t33-gearnet-resiboost,4,0.5746,0.596,0.4429,0.7949,0.8324,0.6686,-1.0,0.9,False,4,2024-09-27 19:11:58
esm-t33-gearnet-resiboost,4,0.6108,0.588,0.4429,0.8857,0.8244,0.6789,-0.6,0.9,True,5,2024-09-27 19:15:43
