model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,hp_combination,finished_at,base_lr,max_lr,cycle_size,model_kwargs.freeze_layer_count,pretrained_weight_path,empty
esm-t33-pretrained,0,0.5585,0.5535,0.4429,0.7561,0.8549,0.7122,-1.4,0,2024-09-27 01:45:27,0.0001,0.003,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6203,0.576,0.5,0.814,0.8362,0.7054,-1.0,1,2024-09-27 01:45:33,0.0001,0.003,4.0,30.0,empty,
esm-t33-pretrained,0,0.4484,0.4984,0.4286,0.5357,0.8315,0.6136,-0.8,2,2024-09-27 01:45:41,0.0001,0.003,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5579,0.5822,0.4857,0.6939,0.8719,0.7505,-2.2,3,2024-09-27 01:45:47,0.0001,0.003,4.0,31.0,empty,
esm-t33-pretrained,0,0.5236,0.4735,0.3286,0.8846,0.8016,0.6432,-0.8,4,2024-09-27 01:45:54,0.0001,0.003,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5451,0.6221,0.4857,0.6667,0.8815,0.7326,-2.6,5,2024-09-27 01:46:01,0.0001,0.003,4.0,32.0,empty,
esm-t33-pretrained,0,0.4466,0.5802,0.5571,0.4239,0.8627,0.7286,-4.4,6,2024-09-27 01:46:10,0.0001,0.003,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5444,0.6118,0.5143,0.6316,0.871,0.7375,-4.0,7,2024-09-27 01:46:19,0.0001,0.003,6.0,30.0,empty,
esm-t33-pretrained,0,0.4405,0.5729,0.6571,0.3594,0.8555,0.7035,-5.0,8,2024-09-27 01:46:28,0.0001,0.003,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5628,0.5625,0.5,0.6863,0.8562,0.7427,-4.4,9,2024-09-27 01:46:37,0.0001,0.003,6.0,31.0,empty,
esm-t33-pretrained,0,0.4827,0.5026,0.2857,0.8696,0.8633,0.6966,-0.6,10,2024-09-27 01:46:46,0.0001,0.003,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.361,0.6,0.7429,0.2419,0.8747,0.7159,-4.8,11,2024-09-27 01:46:54,0.0001,0.003,6.0,32.0,empty,
esm-t33-pretrained,0,0.4861,0.5305,0.5143,0.5217,0.8591,0.7282,-5.0,12,2024-09-27 01:47:08,0.0001,0.003,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5346,0.5741,0.4571,0.6809,0.8273,0.7505,-3.4,13,2024-09-27 01:47:22,0.0001,0.003,10.0,30.0,empty,
esm-t33-pretrained,0,0.4592,0.5242,0.5571,0.4432,0.8385,0.7146,-4.4,14,2024-09-27 01:47:35,0.0001,0.003,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5088,0.5724,0.2714,1.0,0.82,0.725,2.2,15,2024-09-27 01:47:47,0.0001,0.003,10.0,31.0,empty,
esm-t33-pretrained,0,0.4509,0.5228,0.4429,0.5254,0.8232,0.7286,-2.6,16,2024-09-27 01:48:02,0.0001,0.003,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5082,0.5361,0.2857,0.9524,0.8771,0.7104,0.4,17,2024-09-27 01:48:13,0.0001,0.003,10.0,32.0,empty,
esm-t33-pretrained,0,0.3929,0.5743,0.6429,0.3082,0.863,0.6947,-3.0,18,2024-09-27 01:48:21,0.0001,0.005,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5599,0.6325,0.4714,0.7174,0.9117,0.6968,-2.4,19,2024-09-27 01:48:28,0.0001,0.005,4.0,30.0,empty,
esm-t33-pretrained,0,0.5221,0.5366,0.3714,0.7879,0.8566,0.6694,-0.4,20,2024-09-27 01:48:35,0.0001,0.005,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5504,0.5947,0.5,0.6604,0.8546,0.7333,-2.0,21,2024-09-27 01:48:41,0.0001,0.005,4.0,31.0,empty,
esm-t33-pretrained,0,0.4511,0.4489,0.3143,0.7097,0.8169,0.6005,-1.4,22,2024-09-27 01:48:49,0.0001,0.005,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5558,0.6265,0.5143,0.6545,0.8688,0.7396,-2.4,23,2024-09-27 01:48:55,0.0001,0.005,4.0,32.0,empty,
esm-t33-pretrained,0,0.5058,0.5781,0.5286,0.5441,0.8846,0.6843,-2.0,24,2024-09-27 01:49:04,0.0001,0.005,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6208,0.6203,0.4429,0.9118,0.8883,0.7055,1.6,25,2024-09-27 01:49:13,0.0001,0.005,6.0,30.0,empty,
esm-t33-pretrained,0,0.4229,0.5723,0.6,0.3652,0.8575,0.7074,-4.4,26,2024-09-27 01:49:22,0.0001,0.005,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5282,0.5661,0.5143,0.6,0.7852,0.7309,-4.8,27,2024-09-27 01:49:31,0.0001,0.005,6.0,31.0,empty,
esm-t33-pretrained,0,0.495,0.5229,0.2857,0.9091,0.8668,0.6916,0.2,28,2024-09-27 01:49:40,0.0001,0.005,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6062,0.6057,0.4714,0.825,0.8676,0.7052,-0.4,29,2024-09-27 01:49:48,0.0001,0.005,6.0,32.0,empty,
esm-t33-pretrained,0,0.488,0.5849,0.5,0.5385,0.8635,0.7592,-5.0,30,2024-09-27 01:50:02,0.0001,0.005,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6261,0.6251,0.4857,0.85,0.9101,0.7192,0.0,31,2024-09-27 01:50:14,0.0001,0.005,10.0,30.0,empty,
esm-t33-pretrained,0,0.4866,0.5456,0.5857,0.4659,0.8409,0.7172,-4.2,32,2024-09-27 01:50:27,0.0001,0.005,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.2805,0.5213,0.6429,0.1965,0.8183,0.7244,-5.0,33,2024-09-27 01:50:39,0.0001,0.005,10.0,31.0,empty,
esm-t33-pretrained,0,0.4743,0.5186,0.4286,0.5882,0.821,0.7333,-2.4,34,2024-09-27 01:50:52,0.0001,0.005,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.4875,0.5701,0.4571,0.5818,0.8403,0.7375,-4.0,35,2024-09-27 01:51:03,0.0001,0.005,10.0,32.0,empty,
esm-t33-pretrained,0,0.5056,0.5689,0.4857,0.5862,0.8803,0.7059,-0.4,36,2024-09-27 01:51:11,0.0001,0.007,4.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5982,0.5373,0.5286,0.7255,0.8588,0.6407,-0.2,37,2024-09-27 01:51:17,0.0001,0.007,4.0,30.0,empty,
esm-t33-pretrained,0,0.4353,0.5612,0.6,0.3818,0.8885,0.6834,-3.0,38,2024-09-27 01:51:25,0.0001,0.007,4.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6082,0.6067,0.4,0.9655,0.8636,0.7216,0.6,39,2024-09-27 01:51:31,0.0001,0.007,4.0,31.0,empty,
esm-t33-pretrained,0,0.4921,0.4786,0.3286,0.7931,0.795,0.6323,-0.2,40,2024-09-27 01:51:39,0.0001,0.007,4.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5354,0.6441,0.3,1.0,0.8917,0.7381,2.2,41,2024-09-27 01:51:45,0.0001,0.007,4.0,32.0,empty,
esm-t33-pretrained,0,0.5628,0.5718,0.4286,0.7895,0.8832,0.7099,-1.4,42,2024-09-27 01:51:54,0.0001,0.007,6.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5948,0.6379,0.4571,0.8205,0.9187,0.7197,1.2,43,2024-09-27 01:52:03,0.0001,0.007,6.0,30.0,empty,
esm-t33-pretrained,0,0.5413,0.592,0.4571,0.6957,0.8835,0.6962,0.6,44,2024-09-27 01:52:12,0.0001,0.007,6.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.3086,0.5764,0.7571,0.1941,0.8745,0.7114,-2.0,45,2024-09-27 01:52:21,0.0001,0.007,6.0,31.0,empty,
esm-t33-pretrained,0,0.4967,0.5195,0.3,0.875,0.8593,0.6818,0.6,46,2024-09-27 01:52:29,0.0001,0.007,6.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6091,0.5741,0.4857,0.8095,0.8446,0.7236,-0.2,47,2024-09-27 01:52:37,0.0001,0.007,6.0,32.0,empty,
esm-t33-pretrained,0,0.5192,0.5369,0.4143,0.7073,0.8483,0.7417,-2.4,48,2024-09-27 01:52:50,0.0001,0.007,10.0,30.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5948,0.5896,0.4571,0.8205,0.8752,0.7289,-0.4,49,2024-09-27 01:53:02,0.0001,0.007,10.0,30.0,empty,
esm-t33-pretrained,0,0.5728,0.5704,0.5286,0.6727,0.8212,0.7325,-2.0,50,2024-09-27 01:53:15,0.0001,0.007,10.0,31.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.6174,0.5636,0.4857,0.8293,0.8398,0.7326,-1.2,51,2024-09-27 01:53:27,0.0001,0.007,10.0,31.0,empty,
esm-t33-pretrained,0,0.4442,0.5247,0.4,0.56,0.8398,0.7509,-3.2,52,2024-09-27 01:53:39,0.0001,0.007,10.0,32.0,weight/atpbind3d-1930_esm-t33_1.pt,
esm-t33-pretrained,0,0.5103,0.5883,0.3143,0.88,0.8823,0.725,1.6,53,2024-09-27 01:53:50,0.0001,0.007,10.0,32.0,empty,
