model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,valid_mcc,best_threshold,finished_at,micro_auroc
esm-t33,0,0.4352,0.3876,0.4674,0.4674,0.9091,-1.1,2024-06-09 23:14:40,
esm-t33,1,0.4293,0.3813,0.3804,0.5469,0.8739,-1.0,2024-06-09 23:15:02,
esm-t33,2,0.4295,0.4004,0.4674,0.4574,0.747,-2.1,2024-06-09 23:15:23,
esm-t33,3,0.4903,0.4047,0.3804,0.6863,0.7204,0.8,2024-06-09 23:15:44,
esm-t33,4,0.2941,0.4109,0.5326,0.2333,0.9335,-2.6,2024-06-09 23:16:06,
esm-t33-pretrained,0,0.4866,0.4106,0.4565,0.5753,0.9007,-2.4,2024-06-09 23:16:29,
esm-t33-pretrained,1,0.5162,0.4166,0.4457,0.6508,0.883,-0.1,2024-06-09 23:16:52,
esm-t33-pretrained,2,0.4737,0.3654,0.4457,0.5616,0.7252,-2.4,2024-06-09 23:17:15,
esm-t33-pretrained,3,0.5075,0.4353,0.4239,0.661,0.7407,1.0,2024-06-09 23:17:37,
esm-t33-pretrained,4,0.4662,0.4283,0.4457,0.5467,0.9335,-3.0,2024-06-09 23:18:00,
esm-t33-gearnet,0,0.5125,0.4786,0.4239,0.6724,0.9048,-2.2,2024-06-09 23:18:33,
esm-t33-gearnet,1,0.4558,0.457,0.3913,0.5902,0.8431,-1.9,2024-06-09 23:19:06,
esm-t33-gearnet,2,0.4931,0.4033,0.4239,0.629,0.7337,-1.2,2024-06-09 23:19:38,
esm-t33-gearnet,3,0.4535,0.4754,0.4348,0.5333,0.7073,-2.3,2024-06-09 23:20:11,
esm-t33-gearnet,4,0.4805,0.4371,0.3696,0.68,0.7782,-2.0,2024-06-09 23:20:43,
esm-t33-gearnet-pretrained,0,0.5182,0.4407,0.3478,0.8205,0.8683,0.1,2024-06-09 23:21:17,
esm-t33-gearnet-pretrained,1,0.4306,0.4465,0.4239,0.5,0.8317,-2.4,2024-06-09 23:21:51,
esm-t33-gearnet-pretrained,2,0.4461,0.3779,0.3804,0.5833,0.7403,-1.8,2024-06-09 23:22:24,
esm-t33-gearnet-pretrained,3,0.5167,0.4876,0.4348,0.6667,0.7432,0.0,2024-06-09 23:22:58,
esm-t33-gearnet-pretrained,4,0.4593,0.4552,0.4239,0.5571,0.8805,-3.0,2024-06-09 23:23:32,
esm-t33-gearnet-pretrained-ensemble,0,0.5137,0.4784,0.3804,0.7447,0.8948,-1.6,2024-06-09 23:43:34,
esm-t33-gearnet-pretrained-ensemble,1,0.4959,0.4734,0.3804,0.7,0.8568,-0.3,2024-06-09 23:49:33,
esm-t33-gearnet-pretrained-ensemble,2,0.521,0.3977,0.4457,0.6613,0.7516,-2.2,2024-06-09 23:55:31,
esm-t33-gearnet-pretrained-ensemble,3,0.5267,0.4965,0.4022,0.74,0.7346,0.6,2024-06-10 00:01:29,
esm-t33-gearnet-pretrained-ensemble,4,0.5137,0.4558,0.3804,0.7447,0.8456,-2.8,2024-06-10 00:07:27,
esm-t33-gearnet-pretrained-adaboost-r10,0,0.4981,0.5037,0.4457,0.6119,0.932,-0.7,2024-06-10 15:27:44,
esm-t33-gearnet-pretrained-adaboost-r10,1,0.5636,0.5174,0.4457,0.7593,0.9068,-0.3,2024-06-10 15:33:50,
esm-t33-gearnet-pretrained-adaboost-r10,2,0.5103,0.4531,0.3696,0.7556,0.7485,0.1,2024-06-10 15:39:53,
esm-t33-gearnet-pretrained-adaboost-r10,3,0.531,0.5012,0.3261,0.9091,0.7555,0.8,2024-06-10 15:45:57,
esm-t33-gearnet-pretrained-adaboost-r10,4,0.4988,0.4553,0.4022,0.6727,0.8523,-0.5,2024-06-10 15:52:03,
esm-t33-gearnet-adaboost-r10,0,0.519,0.4413,0.413,0.7037,0.92,-0.4,2024-06-10 21:54:17,
esm-t33-gearnet-adaboost-r10,1,0.4268,0.4886,0.4674,0.4526,0.9123,-0.5,2024-06-10 22:00:12,
esm-t33-gearnet-adaboost-r10,2,0.4841,0.3959,0.3913,0.6545,0.7622,-0.1,2024-06-10 22:06:10,
esm-t33-gearnet-adaboost-r10,3,0.4776,0.5198,0.4457,0.5694,0.7481,-0.3,2024-06-10 22:12:07,
esm-t33-gearnet-adaboost-r10,4,0.2931,0.4207,0.4457,0.2662,0.6862,-1.1,2024-06-10 22:18:03,
