model_key,valid_fold,max_slice_length,padding,sensitivity,precision,mcc,micro_auprc,valid_mcc,train_bce,valid_bce,lr,finished_at
esm-t33,0,650,50,0.6235,0.7469,0.6686,0.6665,0.6769,0.0006,0.1881,0.0003,2024-06-04 00:54:19
esm-t33,0,650,75,0.6146,0.6976,0.6393,0.6595,0.669,0.0012,0.1685,0.0003,2024-06-04 01:01:37
esm-t33,0,650,100,0.625,0.7071,0.6497,0.6611,0.6702,0.0009,0.1824,0.0003,2024-06-04 01:09:02
esm-t33,0,650,125,0.628,0.6941,0.6447,0.6668,0.6634,0.0011,0.1683,0.0003,2024-06-04 01:16:29
esm-t33,0,550,50,0.5976,0.7145,0.6381,0.6684,0.6428,0.0009,0.1966,0.0003,2024-06-04 01:23:33
esm-t33,0,550,75,0.6096,0.7382,0.6564,0.6702,0.6601,0.0017,0.178,0.0003,2024-06-04 01:30:41
esm-t33,0,550,100,0.5946,0.7333,0.6456,0.6618,0.653,0.0029,0.1729,0.0003,2024-06-04 01:37:53
esm-t33,0,550,125,0.6111,0.7115,0.6441,0.6394,0.6627,0.0014,0.1725,0.0003,2024-06-04 01:45:08
esm-t33,0,450,50,0.6193,0.7245,0.6544,0.6623,0.6705,0.0016,0.183,0.0003,2024-06-04 01:51:52
esm-t33,0,450,75,0.5979,0.7476,0.6537,0.66,0.656,0.0028,0.1816,0.0003,2024-06-04 01:58:44
esm-t33,0,450,100,0.6193,0.7404,0.6623,0.6827,0.6562,0.0013,0.1836,0.0003,2024-06-04 02:05:41
esm-t33,0,450,125,0.6147,0.7179,0.6486,0.6608,0.6451,0.0023,0.1928,0.0003,2024-06-04 02:12:42
esm-t33,0,350,50,0.6108,0.7584,0.6653,0.6822,0.6591,0.0013,0.2014,0.0003,2024-06-04 02:19:21
esm-t33,0,350,75,0.6108,0.7451,0.6588,0.6687,0.6576,0.0014,0.1931,0.0003,2024-06-04 02:26:12
esm-t33,0,350,100,0.6236,0.7281,0.6575,0.6766,0.6495,0.0018,0.2343,0.0003,2024-06-04 02:33:07
esm-t33,0,350,125,0.6284,0.7112,0.6516,0.6677,0.6641,0.0015,0.202,0.0003,2024-06-04 02:40:14
esm-t33,1,650,50,0.622,0.7425,0.6656,0.6868,0.5967,0.0012,0.2096,0.0003,2024-06-04 02:46:53
esm-t33,1,650,75,0.628,0.7443,0.6698,0.6771,0.5949,0.0016,0.1757,0.0003,2024-06-04 02:53:30
esm-t33,1,650,100,0.628,0.743,0.6692,0.6742,0.6055,0.0016,0.2132,0.0003,2024-06-04 03:00:11
esm-t33,1,650,125,0.5982,0.7349,0.6486,0.663,0.5935,0.001,0.2062,0.0003,2024-06-04 03:06:54
esm-t33,1,550,50,0.6351,0.7487,0.6757,0.6811,0.6027,0.0025,0.1685,0.0003,2024-06-04 03:13:14
esm-t33,1,550,75,0.6366,0.7361,0.6703,0.6984,0.5906,0.0011,0.2018,0.0003,2024-06-04 03:19:34
esm-t33,1,550,100,0.6441,0.7174,0.665,0.6895,0.5952,0.0014,0.1945,0.0003,2024-06-04 03:26:00
esm-t33,1,550,125,0.6441,0.7321,0.6724,0.7008,0.5991,0.0011,0.1927,0.0003,2024-06-04 03:32:31
esm-t33,1,450,50,0.6575,0.7107,0.6682,0.6893,0.5909,0.0018,0.2116,0.0003,2024-06-04 03:38:33
esm-t33,1,450,75,0.656,0.7259,0.6751,0.6818,0.5889,0.0011,0.2297,0.0003,2024-06-04 03:44:39
esm-t33,1,450,100,0.6453,0.7443,0.6786,0.6845,0.5794,0.0008,0.2088,0.0003,2024-06-04 03:50:51
esm-t33,1,450,125,0.6483,0.6939,0.6546,0.6822,0.5902,0.0012,0.2237,0.0003,2024-06-04 03:57:07
esm-t33,1,350,50,0.6555,0.7173,0.6694,0.6962,0.5945,0.0013,0.2113,0.0003,2024-06-04 04:03:05
esm-t33,1,350,75,0.6683,0.7482,0.6921,0.6929,0.5781,0.0012,0.2224,0.0003,2024-06-04 04:09:09
